variable,shap_medio_absoluto
pf_min,0.03682457759433201
map_min,0.03500680534058641
diuresis_ml_kg_6h,0.03177710746970871
rr_max,0.028554074179800337
spo2_min,0.027953692184778355
ph_min,0.023901884716766783
hr_media,0.02149002940787573
temp_min,0.019684805561073902
glucemia_min,0.018081177498012784
lactato_max,0.01791323684906599
sofa_max,0.017382296196438093
gpt_max,0.0171567892346338
fio2_max,0.01427788896880599
leucocitos_min,0.013320360523726742
bicarbonato_min,0.013288808679479288
anchor_age,0.013095064701403203
tp_max,0.01308344705871508
peso_kg,0.012250455584400667
hemoglobina_min,0.011905378699256711
plaquetas_min,0.011890945740880099
creatinina_max,0.00989377626802548
bilirrubina_media,0.009581973932107392
gcs_min,0.0075601506947970435
ventilacion_invasiva_6h,0.004414981259684701
gender,0.002080018522660116
contador_estancia_uci,0.0014853548101739476
