variable,shap_medio_absoluto
pf_min,0.14388534191763802
sofa_max,0.08973073842445589
spo2_min,0.0857335621937724
bicarbonato_min,0.08387803263748345
map_min,0.07932641864659157
hr_media,0.05897855886649899
lactato_max,0.058548367549069794
rr_max,0.058029173128392196
diuresis_ml_kg_12h,0.047956319825553984
glucemia_min,0.04006293343400845
temp_min,0.03847708437726909
gpt_max,0.03609267177553883
bilirrubina_media,0.03289823800264065
tp_max,0.03078629077493693
gcs_min,0.02951893320010041
peso_kg,0.028388242811796194
ph_min,0.0276739315393779
ventilacion_invasiva_12h,0.027241166640603262
creatinina_max,0.026673272079853438
anchor_age,0.02453749069705516
gender,0.023455298148909846
leucocitos_min,0.020499619648340666
plaquetas_min,0.012822410586714133
hemoglobina_min,0.009749371201129384
contador_estancia_uci,0.002964766948406569
