variable,shap_medio_absoluto
pf_min,0.13676041015560492
rr_max,0.13227535677916083
map_min,0.1178464972947076
spo2_min,0.11520684789873269
diuresis_ml_kg_3h,0.10103083058734406
hr_media,0.09114464602392258
gpt_max,0.08998913648799012
temp_min,0.07972550215060185
lactato_max,0.07717953764907544
ph_min,0.06749031643437703
fio2_max,0.05760741255195367
sofa_max,0.05408502688425028
peso_kg,0.03455330581311087
glucemia_min,0.02850018257966847
anchor_age,0.027418417108597496
gcs_min,0.02486163547604991
bicarbonato_min,0.024711771654087153
gender,0.020745344098904474
hemoglobina_min,0.018867315275349412
bilirrubina_media,0.01762207602382107
ventilacion_invasiva_3h,0.016858241536868497
tp_max,0.015230842754890997
leucocitos_min,0.01460676335816502
plaquetas_min,0.013227359520403633
contador_estancia_uci,0.009957542041628317
creatinina_max,0.008104186386253069
