variable,vif
bilirrubina_media,14709.636263316714
plaquetas_media,6193.833523260546
gpt_media,5631.427083424117
bilirrubina_max,4258.057278585867
leucocitos_media,4227.641797516312
bilirrubina_min,3330.8322391426855
creatinina_media,2952.3773540673296
got_media,2582.9050130202527
bicarbonato_media,2536.145087102684
gpt_max,2081.103172591182
plaquetas_min,1800.297415265892
hemoglobina_media,1771.828208949806
plaquetas_max,1461.9611074957666
gpt_min,1409.815185009619
creatinina_max,1226.027306147732
got_max,1187.478966982334
leucocitos_min,1150.3623194949137
leucocitos_max,1055.7707212074836
bicarbonato_min,691.5853865095804
bicarbonato_max,649.8984549178573
got_min,570.000709447064
tp_media,541.639307026212
lactato_media,523.7428381559296
creatinina_min,521.5189216836402
hemoglobina_min,504.5782471426108
hemoglobina_max,447.4138089983042
glucemia_media,239.28780934389346
tp_max,218.5483778554184
gcs_media,201.50919303222454
ph_media,198.08359550902784
lactato_max,180.3241902945585
paco2_media,166.8195551625482
pao2_media,136.8553062374079
lactato_min,113.47158004794923
tp_min,108.85346003981736
glucemia_max,107.45997476145108
ph_min,76.46828382104536
pf_media,67.270405443802
pao2_max,65.85263763292147
paco2_max,65.1995977765332
temp_media,62.35204520025467
gcs_max,60.46139818865938
fio2_media,58.69276772700512
gcs_min,58.282541221770316
ph_max,51.933751182007995
glucemia_min,45.52719715172842
paco2_min,45.45076594552084
pao2_min,38.36757156663794
hr_media,37.50085021028843
pf_max,34.542332560604805
pf_min,28.165368909054166
sofa_media,27.010842231009022
temp_min,24.880112432648982
fio2_max,21.770572645945805
fio2_min,19.981513602666066
sofa_max,17.36234368850864
temp_max,16.293051315680124
hr_min,13.994562913410372
hr_max,12.173272728259763
spo2_media,9.07229021147277
rr_media,7.295066564200092
map_media,6.919168478095317
spo2_min,4.796846030406248
sofa_min,4.702792474294566
rr_max,4.1640064421838545
map_max,3.867959042298735
spo2_max,3.2149561833732085
map_min,2.931653272958872
rr_min,2.898751710653656
peso_kg,1.315383154060239
anchor_age,1.2790342177519178
diuresis_ml_kg_6h,1.2789457181386379
contador_estancia_uci,1.0658509593722676
