variable,test,n_pos,n_neg,mediana_pos,mediana_neg,estadistico,p_valor,p_valor_BH,significativa_BH,significativa_bruta
pf_min,Mann-Whitney U,332,2866,95.5,137.3214,361775.0,8.263272038312243e-13,2.148450729961183e-11,True,True
rr_max,Mann-Whitney U,332,2866,27.0,24.0,582303.0,2.096710862801482e-11,2.725724121641926e-10,True,True
spo2_min,Mann-Whitney U,332,2866,94.0,96.0,370490.0,3.253649536968594e-11,2.8198295987061147e-10,True,True
sofa_max,Mann-Whitney U,332,2866,5.0,4.0,576928.0,1.6544212632768897e-10,1.0753738211299782e-09,True,True
fio2_max,Mann-Whitney U,332,2866,70.0,50.0,571876.0,5.278967159535142e-10,2.7450629229582735e-09,True,True
diuresis_ml_kg_6h,Mann-Whitney U,332,2866,3.6241,5.0562,378051.0,8.530974278520855e-10,3.6967555206923707e-09,True,True
map_min,Mann-Whitney U,332,2866,63.0,67.0,382178.5,4.1695894958144886e-09,1.548704669873953e-08,True,True
ph_min,Mann-Whitney U,332,2866,7.3,7.34,384134.5,8.62700134955735e-09,2.803775438606139e-08,True,True
lactato_max,Mann-Whitney U,332,2866,2.35,1.9,549442.5,3.6805778081668354e-06,1.0632780334704191e-05,True,True
bicarbonato_min,Mann-Whitney U,332,2866,21.0,22.0,410656.0,4.196108832432075e-05,0.00010909882964323395,True,True
creatinina_max,Mann-Whitney U,332,2866,1.3,1.1,540002.5,5.323211114904131e-05,0.00012582135362500672,True,True
hr_media,Mann-Whitney U,332,2866,93.1786,88.4722,536850.0,0.00012506882171860816,0.00027098244705698433,True,True
tp_max,Mann-Whitney U,332,2866,14.9,14.4,510550.5,0.02890455217215867,0.05780910434431734,False,True
ventilacion_invasiva_6h,Chi-cuadrado,332,2866,0.8404,0.7903,4.28,0.03854057745508314,0.07157535813086868,False,True
bilirrubina_media,Mann-Whitney U,332,2866,0.8,0.7,502614.0,0.09108948781047457,0.15788844553815595,False,False
leucocitos_min,Mann-Whitney U,332,2866,12.3,11.6,500819.5,0.11555865629605588,0.1877828164810908,False,False
peso_kg,Mann-Whitney U,332,2866,81.3,80.2,497425.5,0.17364461237249829,0.2552445485447454,False,False
temp_min,Mann-Whitney U,332,2866,36.6667,36.6667,454248.5,0.17670776437713143,0.2552445485447454,False,False
glucemia_min,Mann-Whitney U,332,2866,139.0,140.0,456289.5,0.22160611211429493,0.3032504692090352,False,False
gender,Chi-cuadrado,332,2866,0.6235,0.5939,0.97,0.3255913263264623,0.423268724224401,False,False
anchor_age,Mann-Whitney U,332,2866,62.5,62.0,490403.0,0.3576844599026513,0.4366542590361317,False,False
gcs_min,Mann-Whitney U,332,2866,6.0,7.0,461800.0,0.36947668072288065,0.4366542590361317,False,False
gpt_max,Mann-Whitney U,332,2866,32.0,32.0,462271.0,0.39712591026145805,0.44892494203469174,False,False
contador_estancia_uci,Mann-Whitney U,332,2866,1.0,1.0,484413.5,0.4307004277904035,0.46659213010627043,False,False
plaquetas_min,Mann-Whitney U,332,2866,175.5,181.0,465740.5,0.5294601015995374,0.5506385056635189,False,False
hemoglobina_min,Mann-Whitney U,332,2866,10.4,10.4,474916.0,0.9579584344524898,0.9579584344524898,False,False
