paso,variable_eliminada,n_variables,auc,std,delta,decision
0,ninguna (referencia),25,0.6604259590572779,0.016139699702153554,0.0,referencia
1,peso_kg,24,0.6668703847232142,0.01718191080020345,0.006444425665936393,ELIMINAR
2,glucemia_min,23,0.6720791517253353,0.024221070260239074,0.005208767002121029,ELIMINAR
3,hemoglobina_min,22,0.6706794382317134,0.019045726308526384,-0.0013997134936218902,ELIMINAR
4,creatinina_max,21,0.6791201138757226,0.015813968862962866,0.008440675644009188,ELIMINAR
5,ventilacion_invasiva_3h,20,0.6777770148799346,0.017253362975365227,-0.0013430989957879946,ELIMINAR
6,leucocitos_min,19,0.6776867656851522,0.022699246764799657,-9.024919478239912e-05,ELIMINAR
7,plaquetas_min,18,0.677683787824573,0.027368320399620887,-2.977860579234104e-06,ELIMINAR
8,gender,17,0.6738428110621592,0.02019202652026716,-0.0038409767624137947,ELIMINAR
9,contador_estancia_uci,16,0.6786395516748596,0.023372051265313287,0.004796740612700412,ELIMINAR
10,bicarbonato_min,15,0.685502711744391,0.023637441213064655,0.006863160069531471,ELIMINAR
11,tp_max,14,0.6839719898643841,0.02091177936762043,-0.0015307218800069133,ELIMINAR
12,anchor_age,13,0.6739668334663442,0.02103648214628723,-0.010005156398039894,CONSERVAR
13,fio2_max,13,0.686401406074315,0.029514327048616066,0.002429416209930868,ELIMINAR
14,hr_media,12,0.6764821562572639,0.01866586639807142,-0.009919249817051057,CONSERVAR
15,lactato_max,12,0.6758113540853031,0.02103418657163733,-0.010590051989011862,CONSERVAR
16,spo2_min,12,0.675921065002958,0.03294217858692322,-0.01048034107135698,CONSERVAR
17,ph_min,12,0.6671929643846944,0.027320944259117495,-0.019208441689620548,CONSERVAR
18,rr_max,12,0.666545060151061,0.012851602960297883,-0.019856345923254026,CONSERVAR
19,diuresis_ml_kg_3h,12,0.6666236444971918,0.024316023300485136,-0.019777761577123187,CONSERVAR
