variable,coef,IC_inf_coef,IC_sup_coef,OR,OR_IC_inf,OR_IC_sup,p_valor,p_valor_BH,significativa_BH,significativa_bruta
rr_max,0.3024262540079907,0.12549348265421506,0.4793590253617664,1.353137884245982,1.1337077801708264,1.6150388713975314,0.0008077894807914102,0.021002526500576664,True,True
gpt_max,-0.34278574683028296,-0.5796755995187207,-0.10589589414184522,0.7097902700853166,0.5600800273288098,0.8995182883249222,0.00456654842087058,0.059365129471317536,False,True
sofa_max,0.23572326813152794,0.015114316448526871,0.456332219814529,1.265823967861892,1.0152291153692476,1.578274591771189,0.03623819255101815,0.3140643354421573,False,True
spo2_min,-0.15333083061123548,-0.32274624513052086,0.016084583908049926,0.8578458731865035,0.7241575895697019,1.0162146371764051,0.07608271818915176,0.42784252183860333,False,False
ph_min,-0.1729591491489733,-0.36804971945577897,0.022131421157832343,0.8411719767338716,0.6920827708545727,1.0223781377604193,0.08227740804588526,0.42784252183860333,False,False
diuresis_ml_kg_3h,-0.15201477881440562,-0.3492303736347722,0.045200816005960986,0.8589755860065525,0.7052306450074696,1.046237940138698,0.13085211710160916,0.4714977551196884,False,False
pf_min,-0.15376799975998662,-0.37559148055079483,0.0680554810308216,0.8574709313988255,0.6868828807499143,1.0704246950968446,0.1742585673955409,0.4714977551196884,False,False
map_min,-0.11118422511214006,-0.271991460430849,0.04962301020656888,0.8947738939233333,0.761860767024762,1.0508748525971843,0.1753714511059271,0.4714977551196884,False,False
tp_max,0.11525619328359214,-0.05222980001953313,0.2827421865867174,1.1221608908319098,0.9491107361149285,1.3267630604066651,0.1774148732062516,0.4714977551196884,False,False
hr_media,0.1260095864523028,-0.05876503126414173,0.31078420416874736,1.1342930420770496,0.942928301800537,1.3644947371370488,0.1813452904306494,0.4714977551196884,False,False
lactato_max,0.10947057572352863,-0.06823673916745436,0.2871778906145116,1.1156872421622996,0.934039323708964,1.3326612603213805,0.22728988937812233,0.5372306476210165,False,False
glucemia_min,-0.09574612984640468,-0.2727628481286083,0.0812705884357989,0.9086946772457567,0.7612733036118288,1.0846643544928583,0.28909000296302967,0.6263616730865642,False,False
leucocitos_min,-0.08319158124313687,-0.25529826733221594,0.08891510484594221,0.9201748420921348,0.774685400150721,1.0929878630145207,0.34343904983379736,0.6616603188414997,False,False
creatinina_max,-0.08425303222407902,-0.2717806258505705,0.10327456140241244,0.9191986397904587,0.7620214105538188,1.1087957998169073,0.37854559074292093,0.6616603188414997,False,False
hemoglobina_min,0.07306083467557986,-0.0982327675443066,0.24435443689546632,1.0757959806235313,0.9064378898745898,1.2767967941916776,0.40317082136131843,0.6616603188414997,False,False
ventilacion_invasiva_3h,0.08320662918608608,-0.1143717860634229,0.28078504443559504,1.086766342994673,0.8919262884679147,1.3241689358598847,0.40914231582040705,0.6616603188414997,False,False
bicarbonato_min,-0.08015583148226535,-0.2803606100708583,0.12004894710632757,0.922972507005718,0.7555112473621757,1.1275520406383153,0.4326240546271344,0.6616603188414997,False,False
contador_estancia_uci,0.04787222470644928,-0.0812051417313766,0.17694959114427516,1.0490366058002927,0.9220045304371522,1.193570925066091,0.4672801043532776,0.6749601507325121,False,False
temp_min,0.05060281742609542,-0.12688953033222078,0.22809516518441164,1.051905011960954,0.8808309723276062,1.2562048667119694,0.5763098523541665,0.6952856206180571,False,False
gender,-0.04905909471999906,-0.22163939910192762,0.1235212096619295,0.952124862483821,0.8012042272132948,1.1314740024686583,0.5774212184506866,0.6952856206180571,False,False
gcs_min,-0.05591297881117564,-0.2539684882237341,0.14214253060138277,0.9456214214103214,0.7757162458581254,1.1527409376876983,0.5800465542973043,0.6952856206180571,False,False
anchor_age,-0.050948456127180665,-0.23543376770581356,0.13353685545145225,0.9503276528377218,0.7902279998889573,1.1428633861049724,0.5883186020614329,0.6952856206180571,False,False
bilirrubina_media,-0.04907895659308935,-0.24038473358349682,0.14222682039731815,0.9521059516884387,0.7863252771215219,1.152838106081197,0.6150885648179869,0.6953175080551156,False,False
peso_kg,-0.04306510450274312,-0.22737142870223467,0.14124121969674844,0.9578490277523641,0.7966248380026935,1.151702427790793,0.6469767758405383,0.700891507160583,False,False
plaquetas_min,0.028993216862016592,-0.15946619296215203,0.2174526266861852,1.0294176117697453,0.8525987907487924,1.2429065475111067,0.7630124201641372,0.7935329169707026,False,False
fio2_max,-0.018085797041618813,-0.2031412550594133,0.1669696609761757,0.9820767694621364,0.8161629461373326,1.181718412581423,0.8480941277890207,0.8480941277890207,False,False
