,anchor_age,gender,peso_kg,contador_estancia_uci,map_min,hr_media,pf_min,spo2_min,fio2_max,rr_max,ventilacion_invasiva_12h,gcs_min,creatinina_max,diuresis_ml_kg_12h,lactato_max,ph_min,bicarbonato_min,bilirrubina_media,gpt_max,tp_max,plaquetas_min,leucocitos_min,hemoglobina_min,glucemia_min,temp_min,sofa_max
anchor_age,1.0,-0.052,-0.174,0.018,-0.217,-0.226,-0.024,-0.075,0.0,-0.017,-0.092,0.1,0.142,-0.109,-0.019,0.044,0.028,-0.083,-0.168,0.031,0.067,0.037,-0.045,0.109,-0.159,0.005
gender,-0.052,1.0,0.267,-0.017,0.037,-0.047,-0.031,-0.013,0.04,-0.025,0.022,-0.04,0.191,-0.01,0.03,-0.011,0.002,0.102,0.046,0.049,-0.086,-0.054,0.106,0.029,0.039,0.073
peso_kg,-0.174,0.267,1.0,-0.058,0.048,-0.003,-0.082,-0.11,0.087,0.053,0.011,-0.037,0.191,-0.264,-0.021,-0.049,0.077,0.089,0.063,0.033,-0.023,0.002,0.127,0.136,0.119,0.124
contador_estancia_uci,0.018,-0.017,-0.058,1.0,-0.046,0.017,-0.07,-0.057,0.02,0.035,-0.076,0.089,0.065,-0.059,-0.04,0.008,0.102,-0.044,-0.098,0.083,0.048,-0.04,-0.177,-0.003,-0.014,0.033
map_min,-0.217,0.037,0.048,-0.046,1.0,0.087,0.016,0.054,-0.032,0.008,-0.082,0.034,-0.078,0.09,-0.056,0.102,0.028,0.0,0.072,-0.101,0.003,-0.001,0.178,0.025,0.077,-0.185
hr_media,-0.226,-0.047,-0.003,0.017,0.087,1.0,-0.102,-0.138,0.077,0.325,-0.094,0.083,-0.027,0.053,0.159,-0.072,-0.081,0.106,0.091,0.091,0.013,0.106,-0.007,-0.008,0.23,0.05
pf_min,-0.024,-0.031,-0.082,-0.07,0.016,-0.102,1.0,0.409,-0.548,-0.258,0.151,-0.082,-0.14,0.082,-0.141,0.244,0.007,0.014,-0.019,-0.06,-0.024,-0.032,0.009,-0.025,0.007,-0.136
spo2_min,-0.075,-0.013,-0.11,-0.057,0.054,-0.138,0.409,1.0,-0.266,-0.365,0.302,-0.259,-0.086,0.016,0.055,0.052,-0.114,0.065,0.03,-0.015,-0.123,-0.089,-0.088,0.033,-0.042,-0.074
fio2_max,0.0,0.04,0.087,0.02,-0.032,0.077,-0.548,-0.266,1.0,0.164,-0.002,-0.031,0.083,-0.052,0.137,-0.195,-0.032,0.046,0.053,0.096,0.004,0.035,0.023,0.051,-0.115,0.223
rr_max,-0.017,-0.025,0.053,0.035,0.008,0.325,-0.258,-0.365,0.164,1.0,-0.249,0.208,0.054,0.018,0.035,-0.024,-0.054,-0.046,0.011,0.03,0.109,0.119,0.006,0.013,0.104,0.011
ventilacion_invasiva_12h,-0.092,0.022,0.011,-0.076,-0.082,-0.094,0.151,0.302,-0.002,-0.249,1.0,-0.516,0.009,-0.064,0.099,-0.213,-0.085,0.024,0.078,-0.024,-0.064,-0.033,-0.0,0.023,-0.034,0.173
gcs_min,0.1,-0.04,-0.037,0.089,0.034,0.083,-0.082,-0.259,-0.031,0.208,-0.516,1.0,-0.076,0.117,-0.245,0.273,0.168,-0.079,-0.111,-0.059,0.135,0.027,0.008,-0.086,0.075,-0.228
creatinina_max,0.142,0.191,0.191,0.065,-0.078,-0.027,-0.14,-0.086,0.083,0.054,0.009,-0.076,1.0,-0.334,0.18,-0.258,-0.304,0.076,0.104,0.191,-0.125,0.033,-0.13,0.114,-0.095,0.466
diuresis_ml_kg_12h,-0.109,-0.01,-0.264,-0.059,0.09,0.053,0.082,0.016,-0.052,0.018,-0.064,0.117,-0.334,1.0,-0.114,0.154,0.107,-0.129,-0.016,-0.153,0.091,-0.016,0.079,-0.054,0.049,-0.243
lactato_max,-0.019,0.03,-0.021,-0.04,-0.056,0.159,-0.141,0.055,0.137,0.035,0.099,-0.245,0.18,-0.114,1.0,-0.33,-0.378,0.275,0.263,0.273,-0.231,0.056,-0.03,0.238,-0.205,0.268
ph_min,0.044,-0.011,-0.049,0.008,0.102,-0.072,0.244,0.052,-0.195,-0.024,-0.213,0.273,-0.258,0.154,-0.33,1.0,0.426,0.041,-0.123,-0.036,0.073,-0.06,0.008,-0.09,0.2,-0.257
bicarbonato_min,0.028,0.002,0.077,0.102,0.028,-0.081,0.007,-0.114,-0.032,-0.054,-0.085,0.168,-0.304,0.107,-0.378,0.426,1.0,-0.083,-0.147,-0.108,0.122,-0.091,0.036,-0.058,0.163,-0.182
bilirrubina_media,-0.083,0.102,0.089,-0.044,0.0,0.106,0.014,0.065,0.046,-0.046,0.024,-0.079,0.076,-0.129,0.275,0.041,-0.083,1.0,0.31,0.441,-0.462,-0.099,-0.087,0.018,-0.027,0.459
gpt_max,-0.168,0.046,0.063,-0.098,0.072,0.091,-0.019,0.03,0.053,0.011,0.078,-0.111,0.104,-0.016,0.263,-0.123,-0.147,0.31,1.0,0.143,-0.181,-0.001,0.09,0.116,-0.018,0.251
tp_max,0.031,0.049,0.033,0.083,-0.101,0.091,-0.06,-0.015,0.096,0.03,-0.024,-0.059,0.191,-0.153,0.273,-0.036,-0.108,0.441,0.143,1.0,-0.265,-0.023,-0.307,0.02,-0.122,0.367
plaquetas_min,0.067,-0.086,-0.023,0.048,0.003,0.013,-0.024,-0.123,0.004,0.109,-0.064,0.135,-0.125,0.091,-0.231,0.073,0.122,-0.462,-0.181,-0.265,1.0,0.384,0.186,-0.012,0.084,-0.466
leucocitos_min,0.037,-0.054,0.002,-0.04,-0.001,0.106,-0.032,-0.089,0.035,0.119,-0.033,0.027,0.033,-0.016,0.056,-0.06,-0.091,-0.099,-0.001,-0.023,0.384,1.0,0.136,0.103,0.039,-0.106
hemoglobina_min,-0.045,0.106,0.127,-0.177,0.178,-0.007,0.009,-0.088,0.023,0.006,-0.0,0.008,-0.13,0.079,-0.03,0.008,0.036,-0.087,0.09,-0.307,0.186,0.136,1.0,0.03,0.09,-0.218
glucemia_min,0.109,0.029,0.136,-0.003,0.025,-0.008,-0.025,0.033,0.051,0.013,0.023,-0.086,0.114,-0.054,0.238,-0.09,-0.058,0.018,0.116,0.02,-0.012,0.103,0.03,1.0,-0.006,0.069
temp_min,-0.159,0.039,0.119,-0.014,0.077,0.23,0.007,-0.042,-0.115,0.104,-0.034,0.075,-0.095,0.049,-0.205,0.2,0.163,-0.027,-0.018,-0.122,0.084,0.039,0.09,-0.006,1.0,-0.124
sofa_max,0.005,0.073,0.124,0.033,-0.185,0.05,-0.136,-0.074,0.223,0.011,0.173,-0.228,0.466,-0.243,0.268,-0.257,-0.182,0.459,0.251,0.367,-0.466,-0.106,-0.218,0.069,-0.124,1.0
