variable,test,n_pos,n_neg,estadistico_uni,p_valor_uni,p_valor_uni_BH,sig_uni_BH
pf_min,Mann-Whitney U,332,2865,361723.5,8.558979584104317e-13,2.2253346918671225e-11,True
rr_max,Mann-Whitney U,332,2865,582053.0,2.141161538930083e-11,2.7543402662823704e-10,True
spo2_min,Mann-Whitney U,332,2865,370304.0,3.1780849226335044e-11,2.7543402662823704e-10,True
sofa_max,Mann-Whitney U,332,2865,576717.0,1.662549886314714e-10,1.080657426104564e-09,True
fio2_max,Mann-Whitney U,332,2865,571684.5,5.260536513483424e-10,2.7354789870113803e-09,True
diuresis_ml_kg_6h,Mann-Whitney U,332,2865,377807.0,8.166960287382327e-10,3.5390161245323415e-09,True
map_min,Mann-Whitney U,332,2865,381856.5,3.88378226538555e-09,1.4425476985717757e-08,True
ph_min,Mann-Whitney U,332,2865,383954.0,8.48437545721248e-09,2.757422023594056e-08,True
lactato_max,Mann-Whitney U,332,2865,549217.0,3.7200285229344136e-06,1.0746749066254972e-05,True
bicarbonato_min,Mann-Whitney U,332,2865,410550.0,4.2403058894396284e-05,0.00011024795312543034,True
creatinina_max,Mann-Whitney U,332,2865,539805.5,5.337185781140122e-05,0.00012615166391785742,True
hr_media,Mann-Whitney U,332,2865,536609.0,0.00012683201799395174,0.0002748027056535621,True
tp_max,Mann-Whitney U,332,2865,510381.0,0.02886767037326795,0.0577353407465359,False
ventilacion_invasiva_6h,Chi-cuadrado,332,2865,4.29,0.0382740149343438,0.07108031344949563,False
bilirrubina_media,Mann-Whitney U,332,2865,502461.5,0.09081979351363265,0.15742097542362993,False
leucocitos_min,Mann-Whitney U,332,2865,500626.0,0.1158380048581649,0.18823675789451794,False
peso_kg,Mann-Whitney U,332,2865,497313.5,0.17243296698989963,0.2545589478952662,False
temp_min,Mann-Whitney U,332,2865,454066.0,0.1762331177736458,0.2545589478952662,False
glucemia_min,Mann-Whitney U,332,2865,456208.0,0.22346521246263906,0.305794501264664,False
gender,Chi-cuadrado,332,2865,0.98,0.3231783147076062,0.42013180911988807,False
anchor_age,Mann-Whitney U,332,2865,490353.0,0.35373043852399255,0.43795197150589554,False
gcs_min,Mann-Whitney U,332,2865,461722.5,0.372352803305508,0.44005331299741857,False
gpt_max,Mann-Whitney U,332,2865,462205.0,0.40048015102616374,0.452716692464359,False
contador_estancia_uci,Mann-Whitney U,332,2865,484213.0,0.4324436560455309,0.4684806273826585,False
plaquetas_min,Mann-Whitney U,332,2865,465600.5,0.5303935251734745,0.5516092661804135,False
hemoglobina_min,Mann-Whitney U,332,2865,474875.0,0.9642019448506274,0.9642019448506274,False
