variable,test,p_valor_uni,p_valor_uni_BH,sig_uni_BH,LR_caida_pp,LR_sig,RF_caida_pp,RF_sig,XGB_caida_pp,XGB_sig,LGBM_caida_pp,LGBM_sig,CAT_caida_pp,CAT_sig,NB_caida_pp,NB_sig,n_modelos_significativos,consenso,consenso_global
map_min,Mann-Whitney U,0.00012328840285205357,0.0005834714015497738,True,0.7386,False,1.8666,False,1.5752,True,2.0047,True,1.869,True,0.9915,True,4,Mayoria_significativa,Robusta_mayoria
pf_min,Mann-Whitney U,3.9416660646228766e-05,0.0003416110589339826,True,0.5315,False,0.5639,False,1.1759,True,0.9765,True,0.9024,True,0.3074,False,3,Discordante,Moderada
sofa_max,Mann-Whitney U,0.0004195977894764556,0.0013636928157984805,True,0.4601,False,0.2019,False,0.4391,True,0.461,True,0.7101,True,0.2906,False,3,Discordante,Moderada
temp_min,Mann-Whitney U,0.42946809332729186,0.7361015116725467,False,-0.4908,False,0.8923,True,0.7524,False,1.5865,False,1.1444,False,1.0378,True,2,Discordante,Solo_ML
rr_max,Mann-Whitney U,2.8325756568018066e-07,7.3646967076846965e-06,True,1.7214,False,2.1653,True,1.4425,False,0.7485,False,1.3506,False,1.3193,False,1,Discordante,Moderada
spo2_min,Mann-Whitney U,6.184651034800765e-07,8.040046345240994e-06,True,1.0341,False,0.858,False,1.1206,False,0.9176,False,1.0361,False,0.8184,True,1,Discordante,Moderada
diuresis_ml_kg_3h,Mann-Whitney U,0.0024113347545378374,0.006269470361798377,True,0.1204,False,0.7116,False,1.6379,True,0.9259,False,0.9437,False,0.0665,False,1,Discordante,Moderada
tp_max,Mann-Whitney U,0.09051019569807293,0.18102039139614587,False,0.2937,False,0.4166,False,0.1211,False,0.0716,False,0.2565,True,0.3747,False,1,Discordante,Solo_ML
gpt_max,Mann-Whitney U,0.7297893684678485,0.9079768996763199,False,2.2891,False,0.206,False,-0.0468,False,0.1718,False,1.8315,True,1.9289,False,1,Discordante,Solo_ML
ph_min,Mann-Whitney U,7.517152703231874e-05,0.0004886149257100717,True,0.9547,False,0.3034,False,0.4875,False,0.2378,False,1.1479,False,0.9307,False,0,Unanime_no_significativa,Solo_univariante
hr_media,Mann-Whitney U,0.00013464724651148627,0.0005834714015497738,True,0.6356,False,0.2127,False,0.3948,False,0.9344,False,0.815,False,0.6246,False,0,Unanime_no_significativa,Solo_univariante
fio2_max,Mann-Whitney U,0.0004118457869063907,0.0013636928157984805,True,0.0444,False,-0.2297,False,0.0558,False,-0.2152,False,0.1302,False,0.3472,False,0,Unanime_no_significativa,Solo_univariante
lactato_max,Mann-Whitney U,0.0009581238865586106,0.0027679134500582085,True,1.1771,False,0.5133,False,0.6369,False,0.5184,False,0.8807,False,1.0245,False,0,Unanime_no_significativa,Solo_univariante
creatinina_max,Mann-Whitney U,0.04530749125176106,0.10709043386779887,False,-0.3483,False,-0.2941,False,-0.1826,False,-0.2187,False,0.0732,False,-0.1052,False,0,Unanime_no_significativa,No_significativa
bicarbonato_min,Mann-Whitney U,0.07701953511992618,0.1668756594265067,False,0.0308,False,-0.1204,False,-0.0292,False,0.1066,False,-0.1604,False,0.1659,False,0,Unanime_no_significativa,No_significativa
glucemia_min,Mann-Whitney U,0.3030295037876064,0.5627690784626976,False,-0.1873,False,-0.5819,False,-0.3792,False,-0.5049,False,-0.6577,False,-0.1425,False,0,Unanime_no_significativa,No_significativa
contador_estancia_uci,Mann-Whitney U,0.4529855456446441,0.7361015116725467,False,-0.2876,False,-0.1729,False,-0.0031,False,-0.0742,False,-0.2558,False,-0.6896,False,0,Unanime_no_significativa,No_significativa
peso_kg,Mann-Whitney U,0.601570419460173,0.9079768996763199,False,-0.0943,False,-0.3284,False,-0.1655,False,-0.6228,False,-0.936,False,-0.0421,False,0,Unanime_no_significativa,No_significativa
gender,Chi-cuadrado,0.6757477012045865,0.9079768996763199,False,-0.0531,False,0.0678,False,-0.0134,False,-0.0642,False,0.1221,False,0.0069,False,0,Unanime_no_significativa,No_significativa
ventilacion_invasiva_3h,Chi-cuadrado,0.7019079055792484,0.9079768996763199,False,-0.0206,False,-0.1084,False,-0.0397,False,-0.0602,False,-0.1033,False,-0.3966,False,0,Unanime_no_significativa,No_significativa
bilirrubina_media,Mann-Whitney U,0.7394433340084148,0.9079768996763199,False,-0.0213,False,-0.1379,False,0.0393,False,0.5677,False,0.5734,False,0.1201,False,0,Unanime_no_significativa,No_significativa
leucocitos_min,Mann-Whitney U,0.781636622774279,0.9079768996763199,False,-0.113,False,-0.3122,False,-0.0804,False,0.0353,False,-0.4119,False,-0.1645,False,0,Unanime_no_significativa,No_significativa
plaquetas_min,Mann-Whitney U,0.8032103343290522,0.9079768996763199,False,-0.156,False,-0.2566,False,-0.1352,False,-0.0896,False,-0.5486,False,0.0366,False,0,Unanime_no_significativa,No_significativa
hemoglobina_min,Mann-Whitney U,0.8522279544881358,0.9232469506954805,False,-0.1057,False,-0.5934,False,-0.0921,False,-0.3961,False,-0.7108,False,-0.0925,False,0,Unanime_no_significativa,No_significativa
gcs_min,Mann-Whitney U,0.9094406797461805,0.9458183069360276,False,-0.0276,False,-0.445,False,-0.1479,False,-0.2272,False,0.1755,False,-0.1613,False,0,Unanime_no_significativa,No_significativa
anchor_age,Mann-Whitney U,0.9773283190940871,0.9773283190940871,False,-0.0354,False,0.3675,False,0.0226,False,0.1539,False,0.4966,False,0.1392,False,0,Unanime_no_significativa,No_significativa
