variable,tipo,test,n_positivos,n_negativos,valor_positivos,valor_negativos,p_test,OR_crudo,OR_crudo_IC_inf,OR_crudo_IC_sup,p_crudo,coef_ajustado,OR_ajustado,OR_aj_IC_inf,OR_aj_IC_sup,p_ajustado,coherente
pf_min,continua,Mann-Whitney U,172,1473,113.0,152.5,3.9416660646228766e-05,,,,,-0.147,0.864,0.693,1.076,0.19200411145038698,True
spo2_min,continua,Mann-Whitney U,172,1473,95.0,97.0,6.184651034800765e-07,,,,,-0.152,0.859,0.727,1.015,0.07339717053252517,True
fio2_max,continua,Mann-Whitney U,172,1473,60.0,50.0,0.0004118457869063907,,,,,-0.014,0.987,0.822,1.185,0.8846576794925062,False
rr_max,continua,Mann-Whitney U,172,1473,26.5,23.0,2.8325756568018066e-07,,,,,0.287,1.332,1.119,1.585,0.0012369597044809885,True
map_min,continua,Mann-Whitney U,172,1473,66.5,71.0,0.00012328840285205357,,,,,-0.11,0.895,0.764,1.049,0.1712461171132671,True
hr_media,continua,Mann-Whitney U,172,1473,98.1667,89.25,0.00013464724651148627,,,,,0.124,1.132,0.945,1.356,0.1773283616695175,True
diuresis_ml_kg_3h,continua,Mann-Whitney U,172,1473,2.2423,2.9457,0.0024113347545378374,,,,,-0.132,0.876,0.725,1.059,0.172081349028819,True
creatinina_max,continua,Mann-Whitney U,172,1473,1.15,1.0,0.04530749125176106,,,,,-0.086,0.917,0.763,1.103,0.3575601005889921,False
ph_min,continua,Mann-Whitney U,172,1473,7.32,7.34,7.517152703231874e-05,,,,,-0.186,0.83,0.686,1.004,0.05486193708946215,True
bicarbonato_min,continua,Mann-Whitney U,172,1473,21.0,22.0,0.07701953511992618,,,,,-0.075,0.928,0.762,1.13,0.45583444576554544,True
lactato_max,continua,Mann-Whitney U,172,1473,2.4,1.9,0.0009581238865586106,,,,,0.108,1.114,0.935,1.328,0.22619695228245507,True
gpt_max,continua,Mann-Whitney U,172,1473,34.5,34.0,0.7297893684678485,,,,,-0.333,0.716,0.567,0.905,0.005237291772698153,False
glucemia_min,continua,Mann-Whitney U,172,1473,139.5,147.0,0.3030295037876064,,,,,-0.101,0.904,0.76,1.076,0.2569244757539306,True
temp_min,continua,Mann-Whitney U,172,1473,36.7778,36.7778,0.42946809332729186,,,,,0.049,1.05,0.881,1.252,0.5837682303444417,True
sofa_max,continua,Mann-Whitney U,172,1473,4.0,3.0,0.0004195977894764556,,,,,0.197,1.218,1.013,1.465,0.036333009998363905,True
tp_max,continua,Mann-Whitney U,172,1473,14.85,14.4,0.09051019569807293,,,,,0.087,1.091,0.928,1.281,0.2913639657307362,True
ventilacion_invasiva_3h,binaria,Chi-cuadrado,172,1473,0.814,0.7984,0.7019079055792484,,,,,0.114,1.12,0.937,1.34,0.21368143225823466,True
gender,binaria,Chi-cuadrado,172,1473,0.5756,0.5954,0.6757477012045865,,,,,-0.04,0.96,0.815,1.132,0.6310063993562028,True
