variable,tipo,test,n_positivos,n_negativos,valor_positivos,valor_negativos,p_test,OR_crudo,OR_crudo_IC_inf,OR_crudo_IC_sup,p_crudo,coef_ajustado,OR_ajustado,OR_aj_IC_inf,OR_aj_IC_sup,p_ajustado,coherente
pf_min,continua,Mann-Whitney U,438,3473,88.5,115.0,2.6909252166658406e-11,,,,,-0.229,0.795,0.686,0.922,0.002343948475850099,True
spo2_min,continua,Mann-Whitney U,438,3473,93.0,94.0,1.4031324855498965e-08,,,,,-0.111,0.895,0.804,0.996,0.042721104569844084,True
fio2_max,continua,Mann-Whitney U,438,3473,70.0,60.0,2.3256739293741084e-08,,,,,0.068,1.07,0.948,1.208,0.2747215182401188,True
rr_max,continua,Mann-Whitney U,438,3473,27.0,26.0,1.6101849649280898e-07,,,,,0.186,1.205,1.08,1.344,0.0008739959209201095,True
map_min,continua,Mann-Whitney U,438,3473,61.0,64.0,3.3559063059865775e-05,,,,,-0.107,0.898,0.817,0.988,0.027239639473562328,True
hr_media,continua,Mann-Whitney U,438,3473,91.5175,88.3333,0.003639750705814605,,,,,0.071,1.074,0.96,1.202,0.21253919413557754,True
diuresis_ml_kg_12h,continua,Mann-Whitney U,438,3473,7.7822,8.8964,0.004841976864127265,,,,,-0.02,0.98,0.879,1.093,0.718081914470386,True
creatinina_max,continua,Mann-Whitney U,438,3473,1.3,1.1,2.3353835054497777e-05,,,,,0.017,1.017,0.909,1.138,0.7706681488253299,True
ph_min,continua,Mann-Whitney U,438,3473,7.32,7.34,0.00038765509922844413,,,,,0.102,1.108,0.976,1.257,0.11182837063252195,False
bicarbonato_min,continua,Mann-Whitney U,438,3473,20.0,22.0,8.794804264365759e-08,,,,,-0.281,0.755,0.663,0.86,2.1387123037378453e-05,True
lactato_max,continua,Mann-Whitney U,438,3473,2.3,1.9,1.0176494587318366e-05,,,,,-0.033,0.967,0.86,1.087,0.5761599239879696,False
gpt_max,continua,Mann-Whitney U,438,3473,32.0,32.0,0.6972429976882815,,,,,-0.117,0.889,0.791,0.999,0.048019535919190566,False
bilirrubina_media,continua,Mann-Whitney U,438,3473,0.8,0.7,0.00704857285810247,,,,,0.039,1.04,0.933,1.159,0.47707221924612553,True
glucemia_min,continua,Mann-Whitney U,438,3473,124.0,129.0,0.0783678748988592,,,,,-0.108,0.898,0.807,0.998,0.04576494026157557,True
temp_min,continua,Mann-Whitney U,438,3473,36.5,36.6111,0.018179170728540178,,,,,-0.118,0.888,0.8,0.986,0.02628116204659344,True
sofa_max,continua,Mann-Whitney U,438,3473,6.0,5.0,1.4300232053960966e-09,,,,,0.173,1.189,1.035,1.365,0.014550709511212588,True
ventilacion_invasiva_12h,binaria,Chi-cuadrado,438,3473,0.8037,0.7918,0.6076539017051089,,,,,0.096,1.1,0.98,1.235,0.10440256713612414,True
gender,binaria,Chi-cuadrado,438,3473,0.6279,0.5903,0.14481617283464154,,,,,0.072,1.074,0.968,1.192,0.1769597503820196,True
