variable,caida_AUC_pp,caida_AUC_desv,caida_AUC_IC_inf,caida_AUC_IC_sup,p_valor_empirico,IC_excluye_cero,p_emp_menor_005
map_min,1.6769854706534297,0.007371257564956301,0.004690197394393958,0.025115910176779704,0.12,True,False
diuresis_ml_kg_3h,1.477941083982239,0.010496932178739581,-0.0008110901885838853,0.02916563232004206,0.168,False,False
rr_max,1.2965710810013598,0.015639528041990827,-0.011018219700620821,0.03232928117066217,0.232,False,False
temp_min,1.2211593875951259,0.005224505096986739,0.005708934543717124,0.020024650796773524,0.16,True,False
gpt_max,1.0817355784045506,0.009686245860312243,-0.00579205026977241,0.01958872431915904,0.184,False,False
ph_min,0.9831034422702603,0.008520546013737487,-0.0033288103201147314,0.020030357805396793,0.24,False,False
spo2_min,0.9699075845911466,0.014198710554476418,-0.0070873519707091125,0.02903296703296697,0.304,False,False
pf_min,0.9386450730591831,0.004504491082626195,0.0017876326800612009,0.013915524952455887,0.224,True,False
lactato_max,0.6543668881168261,0.009659917508770776,-0.007458855662666469,0.017414399850308404,0.288,False,False
sofa_max,0.41713722962641836,0.002466430278798893,0.00035738174868601915,0.007252475352107912,0.276,True,False
gcs_min,0.29425930612867635,0.0016175341547232584,0.0013674351479722035,0.005580823431704731,0.22,True,False
hr_media,0.29186042836249115,0.007913509868451709,-0.010639464882943256,0.00931243444535002,0.392,False,False
bilirrubina_media,0.219578754264376,0.001449330174529926,0.0004250175655546169,0.00447642490364639,0.22,True,False
fio2_max,0.2183421744267216,0.002743525923522401,-0.002153171636547629,0.005345921980832438,0.292,False,False
anchor_age,0.16503324896207747,0.003922683299261505,-0.004554489435108801,0.0054950788342092004,0.328,False,False
tp_max,0.08842880362397851,0.001492909481868097,-0.0011778308647873905,0.002493028478927543,0.4,False,False
bicarbonato_min,0.03497030583461327,0.004126752162507148,-0.006656289780126161,0.004034542000679419,0.396,False,False
contador_estancia_uci,0.03166657354957363,0.0016194035477781535,-0.0016587458876168386,0.002821978021977975,0.416,False,False
gender,-0.0010770575025432119,0.00045804577524290006,-0.0006906674910767426,0.0005224562200359317,0.488,False,False
plaquetas_min,-0.05244006066883765,0.0021022300842825237,-0.0037188314251875715,0.0022461538461537862,0.516,False,False
leucocitos_min,-0.10624044793783968,0.003027051236918588,-0.005674818077440894,0.0022508248784462817,0.56,False,False
ventilacion_invasiva_3h,-0.13365402820687508,0.002359916011904467,-0.004665265169613006,0.0012749406518459134,0.544,False,False
creatinina_max,-0.13991371271411002,0.0014304235567930731,-0.0035429808043619085,6.259829684375307e-05,0.664,False,False
hemoglobina_min,-0.22384216747910476,0.0024959580484893735,-0.004954993417986371,0.0008382226469182707,0.652,False,False
glucemia_min,-0.23016172231277815,0.004744302413414529,-0.010120458415235244,0.0029538309772068694,0.608,False,False
peso_kg,-0.25808093780036906,0.003169358813575382,-0.006397950399212069,0.0018321146117309482,0.704,False,False
