variable,p_uni_BH,sig_uni_BH,p_multi_BH,sig_multi_BH,coef_multi,OR_multi,categoria
bicarbonato_min,5.4967526652286e-07,True,0.0002996394520285636,True,-0.2917117441290611,0.7469838274161044,Sig. en ambos (robusta)
pf_min,6.727313041664602e-10,True,0.0032878515332893485,True,-0.25280806479448237,0.7766169276493265,Sig. en ambos (robusta)
rr_max,8.050924824640449e-07,True,0.014994860344682366,True,0.17656533794759313,1.1931123797270657,Sig. en ambos (robusta)
ventilacion_invasiva_12h,0.6604933714185967,False,0.03049031296947664,True,0.19680168268770742,1.2175025649259006,Solo multivariante (efecto ajustado)
sofa_max,1.7875290067451208e-08,True,0.03242106798950176,True,0.20567947376489715,1.228359419469472,Sig. en ambos (robusta)
gcs_min,0.3640768327237415,False,0.07317910090790317,False,0.16395577164867026,1.1781622057684158,No sig. en ninguno
temp_min,0.0324628048723931,True,0.08775210591827581,False,-0.1211314103800108,0.88591753318353,Solo univariante (absorbida)
gpt_max,0.7262947892586266,False,0.09438125613768533,False,-0.12927068044481582,0.8787360766789923,No sig. en ninguno
glucemia_min,0.130613124831432,False,0.09438125613768533,False,-0.11871883605135145,0.8880574554041512,No sig. en ninguno
map_min,0.000104872072062,True,0.09599002130423841,False,-0.10323262753441607,0.9019171383156102,Solo univariante (absorbida)
spo2_min,1.1692770712915805e-07,True,0.2570422177674579,False,-0.08881836350378214,0.915011758011139,Solo univariante (absorbida)
anchor_age,0.2908671391776067,False,0.28892283661114937,False,0.08886388188948866,1.0929318783786708,No sig. en ninguno
hr_media,0.0090993767645365,True,0.33080300908808224,False,0.08026320048684192,1.0835722268839354,Solo univariante (absorbida)
ph_min,0.001076819720079,True,0.3887775778024143,False,0.0809095413911613,1.0842728103204313,Solo univariante (absorbida)
gender,0.2129649600509434,False,0.45777803164593384,False,0.060070538323219055,1.061911449356614,No sig. en ninguno
hemoglobina_min,0.5548602863161249,False,0.494336324074621,False,0.055720779380448136,1.0573024218796394,No sig. en ninguno
peso_kg,0.2129649600509434,False,0.5156369873656776,False,0.05465236940030349,1.0561733926605137,No sig. en ninguno
tp_max,0.0129755370814814,True,0.5188147931451476,False,0.04871792290078516,1.0499241494077254,Solo univariante (absorbida)
contador_estancia_uci,0.8449633981793604,False,0.6288011504185926,False,0.03508899800625869,1.0357118809904584,No sig. en ninguno
bilirrubina_media,0.0135549478040432,True,0.6505304302505883,False,0.03764397722271787,1.0383614867230506,Solo univariante (absorbida)
leucocitos_min,0.2915068162057047,False,0.7184218202087874,False,0.02785042079588768,1.028241869317494,No sig. en ninguno
lactato_max,4.240206078049319e-05,True,0.7968860984640374,False,-0.02352005798679399,0.9767543827458471,Solo univariante (absorbida)
diuresis_ml_kg_12h,0.0110044928730165,True,0.9309125098949064,False,0.005070547127342889,1.0050834241066722,Solo univariante (absorbida)
creatinina_max,8.340655376606348e-05,True,0.9309125098949064,False,0.007746665062470903,1.0077767481031727,Solo univariante (absorbida)
plaquetas_min,0.283919659241727,False,0.9309125098949064,False,0.00820271905966891,1.0082364535347106,No sig. en ninguno
