variable,caida_AUC_pp,caida_AUC_desv,caida_AUC_IC_inf,caida_AUC_IC_sup,p_valor_empirico,IC_excluye_cero,p_emp_menor_005
pf_min,1.924524355096691,0.010284820620818804,0.003182116059062251,0.02919851458885944,0.112,True,False
sofa_max,1.1239285572149686,0.005114161247567998,0.0056039457720962315,0.018300016832091637,0.144,True,False
bicarbonato_min,1.025106644465416,0.0022131714703602346,0.006431527093596075,0.012193978423938438,0.088,True,False
map_min,0.7702207182773193,0.0035377927127973685,0.0031567365840483898,0.012662818978304992,0.148,True,False
diuresis_ml_kg_12h,0.6465880640082496,0.00374473958412905,0.0021509056460780637,0.01176868946256634,0.188,True,False
temp_min,0.6270831581461153,0.0033304238679342604,0.0030409392488389237,0.010694757347815085,0.152,True,False
spo2_min,0.5913050917976546,0.003007931513983744,0.002416204338102855,0.010556726032588117,0.224,True,False
gpt_max,0.5907605135530815,0.005746390460598312,-0.00011181562429207049,0.015337536945812927,0.212,False,False
rr_max,0.586059075086112,0.0036400038370232777,0.001710223569534048,0.011665230318271049,0.172,True,False
hr_media,0.5043044004264686,0.004959072891818212,-0.0032556584550558106,0.010180977643046624,0.244,False,False
glucemia_min,0.4117053055421257,0.0032259426883044107,0.0008941990924436003,0.00909349636456134,0.236,True,False
bilirrubina_media,0.36534638454256113,0.0026996182414273646,0.0003314181037098991,0.007911754452444138,0.264,True,False
lactato_max,0.2861548845053944,0.002473551083954728,-0.0011559676673108484,0.005348495725799935,0.268,False,False
gcs_min,0.22455315358420855,0.0050105351613537515,-0.0052586282682833075,0.007887722873430552,0.344,False,False
ventilacion_invasiva_12h,0.156688242266865,0.0020383487610492177,-0.0005690985712302117,0.004457875094994486,0.296,False,False
tp_max,0.1213349439893735,0.0028011658983184543,-0.0026829964891272435,0.003900189423951202,0.368,False,False
anchor_age,0.10440329521013471,0.0030946057440838725,-0.002047078438802446,0.005893406693758202,0.456,False,False
ph_min,0.0816372995945919,0.002989808966300952,-0.001890621019523821,0.005793133762789072,0.44,False,False
gender,0.02772585539817544,0.0020152649292455565,-0.0013079599958053254,0.0037444789693066934,0.5,False,False
leucocitos_min,0.012841895780084425,0.0028952615914581295,-0.004774808639636209,0.002942026164025081,0.44,False,False
contador_estancia_uci,-0.012988480474649441,0.0011823994105921423,-0.001993414381389292,0.0011602931238040696,0.528,False,False
plaquetas_min,-0.05133290667719578,0.004113100525967324,-0.007609883157594779,0.002657416567048832,0.388,False,False
creatinina_max,-0.06062718712670975,0.0035240376501176475,-0.005537121728845876,0.004528471608406771,0.548,False,False
hemoglobina_min,-0.09144825362321202,0.002077312188415481,-0.0037016696574063176,0.0009760737681064544,0.568,False,False
peso_kg,-0.16716400233814643,0.0021180877773105326,-0.0041011898446381145,0.0006828956221906642,0.652,False,False
