variable,coef,IC_inf_coef,IC_sup_coef,OR,OR_IC_inf,OR_IC_sup,p_valor,p_valor_BH,significativa_BH,significativa_bruta
bicarbonato_min,-0.2917117441290611,-0.42231112740105775,-0.16111236085706443,0.7469838274161044,0.6555300543003015,0.8511964245739932,1.1985578081142543e-05,0.0002996394520285636,True,True
pf_min,-0.25280806479448237,-0.388588703594124,-0.11702742599484073,0.7766169276493265,0.6780130770155953,0.8895607957390566,0.00026302812266314787,0.0032878515332893485,True,True
rr_max,0.17656533794759313,0.06570107217471531,0.28742960372047094,1.1931123797270657,1.0679074421989831,1.3329967508483176,0.001799383241361884,0.014994860344682366,True,True
ventilacion_invasiva_12h,0.19680168268770742,0.0597747660943064,0.3338285992811084,1.2175025649259006,1.0615974118844007,1.396303795588528,0.0048784500751162625,0.03049031296947664,True,True
sofa_max,0.20567947376489715,0.057593635273062105,0.3537653122567322,1.228359419469472,1.0592844524001557,1.4244208531339682,0.006484213597900353,0.03242106798950176,True,True
gcs_min,0.16395577164867026,0.028634787363827685,0.29927675593351283,1.1781622057684158,1.0290487042493501,1.3488828831611401,0.01756298421789676,0.07317910090790317,False,True
temp_min,-0.1211314103800108,-0.22673813894685035,-0.015524681813171237,0.88591753318353,0.7971294921307637,0.9845952048569312,0.02457058965711723,0.08775210591827581,False,True
glucemia_min,-0.11871883605135145,-0.22691699907531268,-0.01052067302739021,0.8880574554041512,0.796986930197103,0.9895344756831277,0.03151240471985655,0.09438125613768533,False,True
gpt_max,-0.12927068044481582,-0.24876363578952548,-0.009777725100106147,0.8787360766789923,0.7797642599681296,0.9902699214359327,0.03397725220956672,0.09438125613768533,False,True
map_min,-0.10323262753441607,-0.2009492507941597,-0.005516004274672429,0.9019171383156102,0.8179539410134848,0.9944991809435011,0.03839600852169536,0.09599002130423841,False,True
spo2_min,-0.08881836350378214,-0.19868884479281923,0.021052117785254967,0.915011758011139,0.8198049402273075,1.0212752768560918,0.11309857581768147,0.2570422177674579,False,False
anchor_age,0.08886388188948866,-0.028761857156385323,0.20648962093536263,1.0929318783786708,0.9716478278934658,1.2293549745961023,0.1386829615733517,0.28892283661114937,False,False
hr_media,0.08026320048684192,-0.03492114966367278,0.19544755063735664,1.0835722268839354,0.9656815575712424,1.2158550214288317,0.17201756472580276,0.33080300908808224,False,False
ph_min,0.0809095413911613,-0.04774247925155378,0.20956156203387638,1.0842728103204313,0.9533792704108915,1.233137287213598,0.21771544356935202,0.3887775778024143,False,False
gender,0.060070538323219055,-0.04770904894814795,0.16785012559458606,1.061911449356614,0.9534111427019094,1.1827593320117447,0.2746668189875603,0.45777803164593384,False,False
hemoglobina_min,0.055720779380448136,-0.05327908538952746,0.16472064415042373,1.0573024218796394,0.9481153704076805,1.1790636943601807,0.31637524740775747,0.494336324074621,False,False
peso_kg,0.05465236940030349,-0.060111986319817665,0.16941672512042466,1.0561733926605137,0.9416590747450817,1.184613694362792,0.3506331514086608,0.5156369873656776,False,False
tp_max,0.04871792290078516,-0.058587148207187405,0.15602299400875771,1.0499241494077254,0.9430960476884833,1.168853079398815,0.37354665106450624,0.5188147931451476,False,False
contador_estancia_uci,0.03508899800625869,-0.061815280497639395,0.13199327651015677,1.0357118809904584,0.940056517526212,1.1411006470628324,0.47788887431813043,0.6288011504185926,False,False
bilirrubina_media,0.03764397722271787,-0.07715581061489858,0.1524437650603343,1.0383614867230506,0.9257456013773827,1.1646769647141701,0.5204243442004707,0.6505304302505883,False,False
leucocitos_min,0.02785042079588768,-0.0772413983308306,0.13294223992260595,1.028241869317494,0.9256663723163923,1.142184023787953,0.6034743289753814,0.7184218202087874,False,False
lactato_max,-0.02352005798679399,-0.1436869163645435,0.09664680039095554,0.9767543827458471,0.8661588857854424,1.101471265688256,0.7012597666483529,0.7968860984640374,False,False
plaquetas_min,0.00820271905966891,-0.11254960792567748,0.1289550460450153,1.0082364535347106,0.8935530186972641,1.1376389816446413,0.8940822086297315,0.9309125098949064,False,False
creatinina_max,0.007746665062470903,-0.10748769774924943,0.12298102787419124,1.0077767481031727,0.8980875708813351,1.1308629658695049,0.8951747789429848,0.9309125098949064,False,False
diuresis_ml_kg_12h,0.005070547127342889,-0.1095598461965117,0.11970094045119749,1.0050834241066722,0.896228526888586,1.1271597132943905,0.9309125098949064,0.9309125098949064,False,False
