variable,test,n_pos,n_neg,estadistico_uni,p_valor_uni,p_valor_uni_BH,sig_uni_BH
pf_min,Mann-Whitney U,438,3473,612221.5,2.6909252166658406e-11,6.996405563331186e-10,True
sofa_max,Mann-Whitney U,438,3473,894611.5,1.4300232053960966e-09,1.8590301670149254e-08,True
spo2_min,Mann-Whitney U,438,3473,634578.0,1.4031324855498965e-08,1.2160481541432434e-07,True
fio2_max,Mann-Whitney U,438,3473,881047.0,2.3256739293741084e-08,1.5116880540931703e-07,True
bicarbonato_min,Mann-Whitney U,438,3473,641699.0,8.794804264365759e-08,4.5732982174701944e-07,True
rr_max,Mann-Whitney U,438,3473,877120.0,1.6101849649280898e-07,6.977468181355055e-07,True
lactato_max,Mann-Whitney U,438,3473,858824.5,1.0176494587318366e-05,3.779840846718251e-05,True
creatinina_max,Mann-Whitney U,438,3473,854644.5,2.3353835054497777e-05,7.589996392711777e-05,True
map_min,Mann-Whitney U,438,3473,668254.0,3.3559063059865775e-05,9.69484043951678e-05,True
ph_min,Mann-Whitney U,438,3473,681609.0,0.00038765509922844413,0.0010079032579939546,True
hr_media,Mann-Whitney U,438,3473,825340.5,0.003639750705814605,0.008603047122834521,True
diuresis_ml_kg_12h,Mann-Whitney U,438,3473,697847.5,0.004841976864127265,0.01049094987227574,True
tp_max,Mann-Whitney U,438,3473,821500.5,0.006228257799111072,0.012456515598222143,True
bilirrubina_media,Mann-Whitney U,438,3473,820494.0,0.00704857285810247,0.013090206736476016,True
temp_min,Mann-Whitney U,438,3473,708015.0,0.018179170728540178,0.03151056259613631,True
glucemia_min,Mann-Whitney U,438,3473,721389.5,0.0783678748988592,0.1273477967106462,False
peso_kg,Mann-Whitney U,438,3473,793191.0,0.14316280984089058,0.20917891631670446,False
gender,Chi-cuadrado,438,3473,2.13,0.14481617283464154,0.20917891631670446,False
plaquetas_min,Mann-Whitney U,438,3473,732326.5,0.20442215465404345,0.2797355800529016,False
anchor_age,Mann-Whitney U,438,3473,787833.5,0.22105902577498115,0.2873767335074755,False
leucocitos_min,Mann-Whitney U,438,3473,787134.5,0.23320545296456374,0.28873056081326937,False
gcs_min,Mann-Whitney U,438,3473,782710.0,0.30582453948794286,0.3614290012130234,False
hemoglobina_min,Mann-Whitney U,438,3473,745154.5,0.48827705195818993,0.5519653630831712,False
ventilacion_invasiva_12h,Chi-cuadrado,438,3473,0.26,0.6076539017051089,0.6582917268472013,False
gpt_max,Mann-Whitney U,438,3473,769250.0,0.6972429976882815,0.7251327175958127,False
contador_estancia_uci,Mann-Whitney U,438,3473,763338.5,0.8449633981793604,0.8449633981793604,False
