variable,cluster
map_max,1
map_media,1
map_min,2
hemoglobina_max,3
hemoglobina_media,3
hemoglobina_min,3
contador_estancia_uci,4
leucocitos_max,5
leucocitos_media,5
leucocitos_min,5
glucemia_max,6
glucemia_media,6
glucemia_min,6
tp_max,7
tp_media,7
tp_min,7
sofa_max,8
sofa_media,8
sofa_min,9
bilirrubina_max,10
bilirrubina_media,10
bilirrubina_min,10
plaquetas_max,11
plaquetas_media,11
plaquetas_min,11
lactato_max,12
lactato_media,12
lactato_min,12
got_max,13
got_media,13
got_min,13
gpt_max,13
gpt_media,13
gpt_min,13
ph_max,14
ph_media,14
ph_min,14
bicarbonato_max,15
bicarbonato_media,15
bicarbonato_min,15
paco2_max,16
paco2_media,16
paco2_min,16
creatinina_max,17
creatinina_media,17
creatinina_min,17
diuresis_ml_kg_6h,18
gender,19
peso_kg,20
gcs_max,21
gcs_media,21
gcs_min,21
ventilacion_invasiva_6h,22
fio2_max,23
fio2_media,23
fio2_min,23
rr_max,24
rr_media,24
rr_min,25
pao2_max,26
pao2_media,26
pf_max,26
pf_media,26
pao2_min,27
pf_min,27
spo2_media,28
spo2_min,28
spo2_max,29
hr_max,30
hr_media,30
hr_min,30
temp_max,31
temp_media,31
temp_min,31
anchor_age,32
tiene_sepsis,33
