variable_1,variable_2,rho_spearman
gpt_media,gpt_max,0.9997184571729898
got_media,got_max,0.9995734595034614
bilirrubina_media,bilirrubina_max,0.9992801705729849
gpt_media,gpt_min,0.9991748210587796
got_media,got_min,0.9991666600895516
bilirrubina_media,bilirrubina_min,0.9985139858399885
gpt_min,gpt_max,0.9980615426579829
got_min,got_max,0.9976907639369481
creatinina_media,creatinina_max,0.9973805033043671
creatinina_media,creatinina_min,0.995835670372064
bilirrubina_min,bilirrubina_max,0.9958037758964315
plaquetas_media,plaquetas_max,0.9954290157407786
plaquetas_media,plaquetas_min,0.9952530530544641
tp_media,tp_max,0.9951576507475822
leucocitos_media,leucocitos_max,0.9913724155232814
glucemia_media,glucemia_max,0.9899129770314646
lactato_media,lactato_max,0.9896814693887882
bicarbonato_media,bicarbonato_min,0.9894829916904545
tp_media,tp_min,0.9891031018709391
leucocitos_media,leucocitos_min,0.9881809943266596
creatinina_min,creatinina_max,0.9877287689564586
hemoglobina_media,hemoglobina_min,0.9875362973813482
hemoglobina_media,hemoglobina_max,0.9860505727588298
bicarbonato_media,bicarbonato_max,0.984949917655466
plaquetas_min,plaquetas_max,0.9819771006908312
glucemia_media,glucemia_min,0.9736926054132726
tp_min,tp_max,0.9726417782086831
pao2_media,pao2_max,0.9648063122567031
lactato_media,lactato_min,0.9647392808563716
leucocitos_min,leucocitos_max,0.9613906395041217
ph_media,ph_min,0.9595848871707693
bicarbonato_min,bicarbonato_max,0.9526271812446542
sofa_media,sofa_max,0.9519483058843954
hemoglobina_min,hemoglobina_max,0.9494790245131632
paco2_media,paco2_max,0.9451675988631834
fio2_media,fio2_max,0.9422774648296028
gcs_media,gcs_max,0.9406272954493103
glucemia_min,glucemia_max,0.9393884459720147
pf_media,pf_max,0.9372319820047966
hr_media,hr_min,0.9330512874317202
temp_media,temp_min,0.9322678053038085
hr_media,hr_max,0.9278230802138209
pao2_max,pf_max,0.9269921581008521
lactato_min,lactato_max,0.9213581764386176
ph_media,ph_max,0.9200913297214781
temp_media,temp_max,0.9182567202571318
gcs_media,gcs_min,0.9110429951865974
spo2_media,spo2_min,0.9103291573790248
pao2_media,pf_max,0.9092956973239332
paco2_media,paco2_min,0.906437956401219
pao2_media,pf_media,0.8961955905086052
gpt_max,got_max,0.8669510922787633
gpt_max,got_media,0.8667551922795634
gpt_media,got_media,0.866388784923188
gpt_media,got_max,0.8660767763555742
gpt_media,got_min,0.8654627471257194
gpt_min,got_min,0.8652944125309903
gpt_max,got_min,0.8651334809131745
gpt_min,got_media,0.8649558612280598
gpt_min,got_max,0.8639299195233936
pao2_min,pf_min,0.8570881529591621
pao2_max,pf_media,0.8418732429188522
fio2_media,fio2_min,0.834970388887087
pf_media,pf_min,0.826565657693479
pao2_media,pao2_min,0.8227624667317723
rr_media,rr_max,0.8135053190590611
map_media,map_max,0.8043022227021879
ph_min,ph_max,0.7930365400133811
map_media,map_min,0.7861973995314135
hr_min,hr_max,0.7854175839644304
pao2_min,pf_media,0.7769338839743172
temp_min,temp_max,0.7599761130325059
sofa_media,sofa_min,0.7417556917001991
paco2_min,paco2_max,0.7415837428976981
rr_media,rr_min,0.7412376382223009
gcs_min,gcs_max,0.7393116788061896
