variable,shap_medio_absoluto
pf_min,0.036733844468257094
map_min,0.03598985514654151
diuresis_ml_kg_6h,0.032635923719002286
spo2_min,0.027924741551833016
rr_max,0.027229611274780633
ph_min,0.02429004555172615
hr_media,0.021452837092135153
lactato_max,0.019473818485242968
temp_min,0.01879428265798601
glucemia_min,0.017284472838707036
sofa_max,0.016930383857022537
gpt_max,0.016327831726104334
fio2_max,0.014385046713448427
tp_max,0.01342850598942921
bicarbonato_min,0.013268686046915031
leucocitos_min,0.013058336568708005
anchor_age,0.012744961731076672
hemoglobina_min,0.012082055310024844
peso_kg,0.011959108884269114
plaquetas_min,0.011869614318773593
creatinina_max,0.01042854898104545
bilirrubina_media,0.008949983163511557
gcs_min,0.0066790296109434715
ventilacion_invasiva_6h,0.00464770003872646
gender,0.0023372916915174475
contador_estancia_uci,0.0015376752269579818
