variable,shap_medio_absoluto
pf_min,0.042347361616387254
map_min,0.03863053805276948
diuresis_ml_kg_6h,0.037111857848671256
rr_max,0.03455986643945239
spo2_min,0.029706795656956962
ph_min,0.0278719219576109
hr_media,0.01975830308153354
temp_min,0.017651109189240097
lactato_max,0.016588354027118547
glucemia_min,0.015997967972315584
fio2_max,0.015832488018479335
gpt_max,0.015410579235912934
bicarbonato_min,0.01230207510498536
anchor_age,0.011724399599860033
leucocitos_min,0.011210237536006702
tp_max,0.010791193989802899
peso_kg,0.010313571230313439
hemoglobina_min,0.010068587837188323
plaquetas_min,0.008935947384096907
creatinina_max,0.008634406841452679
bilirrubina_media,0.007327369251420871
gcs_min,0.006451813031613947
ventilacion_invasiva_6h,0.006341839896314577
gender,0.00218136067856419
contador_estancia_uci,0.0014012334940178878
