variable,shap_medio_absoluto
pf_min,0.14495120038730658
bicarbonato_min,0.09072022494109283
sofa_max,0.08560983955297975
spo2_min,0.0847899433087857
map_min,0.0836818359674167
hr_media,0.06330315090022241
rr_max,0.05915039378233163
diuresis_ml_kg_12h,0.0549196464144892
lactato_max,0.05270977012113304
temp_min,0.045194309726936846
gpt_max,0.044337672129662324
glucemia_min,0.04154013031852519
gcs_min,0.0341382813731444
anchor_age,0.03194090781453225
bilirrubina_media,0.031800845886793404
gender,0.030935252452342858
ventilacion_invasiva_12h,0.030816807731321488
ph_min,0.02968273832867291
tp_max,0.029159930726068338
peso_kg,0.028119786158435526
creatinina_max,0.027251015947039874
leucocitos_min,0.026250219477620698
plaquetas_min,0.019281836671685385
hemoglobina_min,0.015819776209382793
contador_estancia_uci,0.004717998960145257
