variable,shap_medio_absoluto
rr_max,0.0408232592774835
pf_min,0.03719987826891378
spo2_min,0.031296118886613745
map_min,0.03023268929802576
diuresis_ml_kg_3h,0.028229976681147483
hr_media,0.02642908582036397
ph_min,0.024594459542405613
lactato_max,0.02245122752392006
temp_min,0.022314905422896207
gpt_max,0.020883702095981914
tp_max,0.013331188963764173
glucemia_min,0.012999977908558488
peso_kg,0.012935947637483685
anchor_age,0.012925180076543334
sofa_max,0.011701814090439083
plaquetas_min,0.01074855914593899
bicarbonato_min,0.010684381464840586
hemoglobina_min,0.010571041538279626
leucocitos_min,0.010443351061457653
fio2_max,0.009273875400963564
bilirrubina_media,0.0091048624562483
creatinina_max,0.007861042028611856
gcs_min,0.005956133963923652
gender,0.002378063661670483
contador_estancia_uci,0.002059748989657798
ventilacion_invasiva_3h,0.001214588210761184
