decil_calibrado,n,positivos,probabilidad_media_calibrada,probabilidad_media_sin_calibrar,frecuencia_observada
1,408,29,0.06469952271452904,0.05323756245168433,0.07107843137254902
2,408,18,0.07543927967549388,0.060329560780096186,0.04411764705882353
3,408,26,0.0819618775061268,0.06891834859598445,0.06372549019607843
4,408,27,0.08821277686028128,0.07788690462810355,0.0661764705882353
5,408,36,0.09468047073436622,0.08830555332365898,0.08823529411764706
6,408,46,0.10148422860980244,0.09948098869588419,0.11274509803921569
7,408,50,0.109992845205305,0.11203672134810752,0.12254901960784313
8,408,59,0.12192898078150013,0.12808450676712396,0.14460784313725492
9,408,67,0.1449660490162639,0.15404315935825091,0.1642156862745098
10,408,97,0.24050853561451208,0.22240842047666132,0.23774509803921567
