decil_calibrado,n,positivos,probabilidad_media_calibrada,probabilidad_media_sin_calibrar,frecuencia_observada
1,167,6,0.06962890529289434,0.04156135575686526,0.03592814371257485
2,167,8,0.0783417331093446,0.04237683064674728,0.04790419161676647
3,166,5,0.0824252683639162,0.04661568886358161,0.030120481927710843
4,167,11,0.08598801129341628,0.055722624935940566,0.0658682634730539
5,167,22,0.08987349016289264,0.06568060089884568,0.1317365269461078
6,166,10,0.09465326119134057,0.07615944135441065,0.060240963855421686
7,167,22,0.10088604233821852,0.08887515366282986,0.1317365269461078
8,166,25,0.11133330736217095,0.10942662915118144,0.15060240963855423
9,167,33,0.13021293053784846,0.14297550424511238,0.19760479041916168
10,167,30,0.20387476123390919,0.2208440743911253,0.17964071856287425
