cluster,variable,n_variables
1,"map_max, map_media",2
2,map_min,1
3,"hemoglobina_max, hemoglobina_media, hemoglobina_min",3
4,contador_estancia_uci,1
5,"leucocitos_max, leucocitos_media, leucocitos_min",3
6,"glucemia_max, glucemia_media, glucemia_min",3
7,"tp_max, tp_media, tp_min",3
8,"sofa_max, sofa_media",2
9,sofa_min,1
10,"bilirrubina_max, bilirrubina_media, bilirrubina_min",3
11,"plaquetas_max, plaquetas_media, plaquetas_min",3
12,"lactato_max, lactato_media, lactato_min",3
13,"got_max, got_media, got_min, gpt_max, gpt_media, gpt_min",6
14,"ph_max, ph_media, ph_min",3
15,"bicarbonato_max, bicarbonato_media, bicarbonato_min",3
16,"paco2_max, paco2_media, paco2_min",3
17,"creatinina_max, creatinina_media, creatinina_min",3
18,diuresis_ml_kg_6h,1
19,gender,1
20,peso_kg,1
21,"gcs_max, gcs_media, gcs_min",3
22,ventilacion_invasiva_6h,1
23,"fio2_max, fio2_media, fio2_min",3
24,"rr_max, rr_media",2
25,rr_min,1
26,"pao2_max, pao2_media, pf_max, pf_media",4
27,"pao2_min, pf_min",2
28,"spo2_media, spo2_min",2
29,spo2_max,1
30,"hr_max, hr_media, hr_min",3
31,"temp_max, temp_media, temp_min",3
32,anchor_age,1
33,tiene_sepsis,1
