variable_1,variable_2,rho_spearman
pf_min,fio2_media,-0.5134122273980252
ventilacion_invasiva_6h,gcs_min,-0.47295043053353664
bilirrubina_media,sofa_media,0.4727458597447893
bilirrubina_media,plaquetas_min,-0.47044937926393965
plaquetas_min,sofa_media,-0.4557214329449484
bilirrubina_media,tp_max,0.4459081903098418
ph_min,bicarbonato_min,0.4394815070238078
creatinina_max,sofa_media,0.4340519451610819
spo2_min,rr_max,-0.38584649803750054
pf_min,spo2_min,0.381687347316563
lactato_max,bicarbonato_min,-0.3713387900962542
tp_max,sofa_media,0.36323887471839145
bilirrubina_media,gpt_media,0.33287220577918125
hr_media,rr_max,0.331190772581721
spo2_min,fio2_media,-0.32186690975511045
creatinina_max,diuresis_ml_kg_6h,-0.3205811949973687
lactato_max,glucemia_max,0.320070789064573
plaquetas_min,leucocitos_max,0.32002655446887596
tp_max,hemoglobina_min,-0.31461532705802064
lactato_max,bilirrubina_media,0.3052668169283611
gender,peso_kg,0.2986676113199858
hr_media,temp_max,0.2976111094857156
spo2_min,ventilacion_invasiva_6h,0.28936937006719277
pf_min,rr_max,-0.288797386244984
peso_kg,diuresis_ml_kg_6h,-0.2843528636044923
lactato_max,ph_min,-0.28223542469454305
lactato_max,gpt_media,0.28077148781418626
creatinina_max,bicarbonato_min,-0.28035816488637705
lactato_max,tp_max,0.2608135188066641
tp_max,plaquetas_min,-0.26016833223340435
spo2_min,gcs_min,-0.2525516427395796
fio2_media,rr_max,0.2434675820740034
pf_min,ph_min,0.24341430878621478
creatinina_max,ph_min,-0.23810968654985393
lactato_max,sofa_media,0.2345581289796152
gpt_media,sofa_media,0.23144455231054709
gcs_min,ph_min,0.23140026806194822
hemoglobina_min,sofa_media,-0.23082028717763997
rr_max,ventilacion_invasiva_6h,-0.23064848173468058
diuresis_ml_kg_6h,sofa_media,-0.22722998856789564
lactato_max,plaquetas_min,-0.22256766081595422
gender,creatinina_max,0.22001193739413757
ph_min,sofa_media,-0.2145159171499768
map_min,sofa_media,-0.21366092537135098
peso_kg,creatinina_max,0.20926297667765478
rr_max,gcs_min,0.2077886502388653
gpt_media,plaquetas_min,-0.2041797208885872
anchor_age,hr_media,-0.19837800073974862
gcs_min,lactato_max,-0.19634114798890887
fio2_media,sofa_media,0.19456162738037835
ph_min,glucemia_max,-0.19246821476866302
gcs_min,sofa_media,-0.1905908381711426
anchor_age,map_min,-0.18958131867952654
fio2_media,ph_min,-0.18608585690422325
gpt_media,glucemia_max,0.18127436295604113
glucemia_max,sofa_media,0.17779725422781714
contador_estancia_uci,hemoglobina_min,-0.17670931202509485
bicarbonato_min,sofa_media,-0.17271301219125237
anchor_age,creatinina_max,0.17022496812055563
pf_min,creatinina_max,-0.16885404167431528
leucocitos_max,glucemia_max,0.1682251450246646
map_min,hemoglobina_min,0.16703863006191746
gcs_min,glucemia_max,-0.16649557208338614
hr_media,lactato_max,0.16622409050859427
creatinina_max,tp_max,0.1660681807891922
hr_media,spo2_min,-0.165909136631139
gpt_media,tp_max,0.16589384261718615
diuresis_ml_kg_6h,ph_min,0.16513176472748559
creatinina_max,glucemia_max,0.164557471644054
ventilacion_invasiva_6h,ph_min,-0.1633216968065613
ph_min,temp_max,0.1609596608754241
pf_min,ventilacion_invasiva_6h,0.15637495030836548
anchor_age,peso_kg,-0.1546725876111442
plaquetas_min,hemoglobina_min,0.15260278550824544
ph_min,leucocitos_max,-0.15193005265489667
gcs_min,plaquetas_min,0.15136529900882714
diuresis_ml_kg_6h,tp_max,-0.14857319330033478
bicarbonato_min,leucocitos_max,-0.14587285922315207
gcs_min,bicarbonato_min,0.1450558506615988
rr_max,leucocitos_max,0.14398285454241752
bicarbonato_min,glucemia_max,-0.14159930205503196
anchor_age,temp_max,-0.1405769447382776
rr_max,temp_max,0.13923672394878492
lactato_max,leucocitos_max,0.1335646908467689
peso_kg,hemoglobina_min,0.13294056815389146
anchor_age,gpt_media,-0.13264380910155607
creatinina_max,lactato_max,0.13049852246421956
fio2_media,creatinina_max,0.130434945428679
peso_kg,sofa_media,0.12883273722540334
diuresis_ml_kg_6h,bilirrubina_media,-0.1282751955552049
gender,hemoglobina_min,0.12539081527997123
spo2_min,plaquetas_min,-0.12532034464574648
hr_media,leucocitos_max,0.12489619125552782
gcs_min,diuresis_ml_kg_6h,0.12418023341449494
bicarbonato_min,plaquetas_min,0.12414017526469084
diuresis_ml_kg_6h,bicarbonato_min,0.1230513934464587
rr_max,plaquetas_min,0.12279821275899518
pf_min,lactato_max,-0.12221026924492853
gcs_min,gpt_media,-0.12089785627019313
contador_estancia_uci,tp_max,0.12064826928017729
peso_kg,fio2_media,0.12056191737216451
peso_kg,glucemia_max,0.11939965716971576
bicarbonato_min,temp_max,0.11937112302984287
bicarbonato_min,tp_max,-0.11893099698380004
pf_min,gcs_min,-0.11778424804782249
peso_kg,spo2_min,-0.11717587741806337
anchor_age,spo2_min,-0.11693740880919198
spo2_min,creatinina_max,-0.1163798230799538
anchor_age,gcs_min,0.11491066104165668
creatinina_max,hemoglobina_min,-0.11489892714085838
lactato_max,temp_max,-0.11460568314602841
gender,bilirrubina_media,0.11442766810617039
hr_media,pf_min,-0.11385006251606172
anchor_age,diuresis_ml_kg_6h,-0.11333989382124292
hr_media,ph_min,-0.11267954524317868
hr_media,fio2_media,0.11267129527776601
hr_media,ventilacion_invasiva_6h,-0.11256012464417424
diuresis_ml_kg_6h,lactato_max,-0.10927711589796277
map_min,diuresis_ml_kg_6h,0.10813505406463259
bicarbonato_min,gpt_media,-0.10773127129521468
gcs_min,bilirrubina_media,-0.10761483329964563
creatinina_max,plaquetas_min,-0.1075068528934375
ph_min,gpt_media,-0.10701550714968971
ventilacion_invasiva_6h,sofa_media,0.10636705926657963
peso_kg,temp_max,0.10584701831118376
bicarbonato_min,bilirrubina_media,-0.10395067264914834
pf_min,sofa_media,-0.10342489241450396
hr_media,tp_max,0.10192992503699042
map_min,tp_max,-0.10112759182220078
anchor_age,glucemia_max,0.10085284399209116
fio2_media,lactato_max,0.10085122411361068
rr_max,creatinina_max,0.10069826499464107
map_min,creatinina_max,-0.09954380054289746
gpt_media,hemoglobina_min,0.09852891414123749
anchor_age,ventilacion_invasiva_6h,-0.09742947317316424
fio2_media,diuresis_ml_kg_6h,-0.09596275422712493
hr_media,gcs_min,0.09498846342682538
hr_media,bilirrubina_media,0.09470863396083844
map_min,ph_min,0.09469436796936893
spo2_min,bicarbonato_min,-0.09370397414403012
hr_media,bicarbonato_min,-0.0928073014292182
fio2_media,tp_max,0.09243159107921015
gender,plaquetas_min,-0.09189222789668379
contador_estancia_uci,gpt_media,-0.09140684900582247
tp_max,glucemia_max,0.09033950368425522
fio2_media,leucocitos_max,0.08968374746149771
spo2_min,hemoglobina_min,-0.08764520117571736
peso_kg,pf_min,-0.0874595759412759
contador_estancia_uci,pf_min,-0.08738155441851936
peso_kg,bilirrubina_media,0.08703864231316256
spo2_min,temp_max,-0.08695353422081971
rr_max,bicarbonato_min,-0.0857657388094181
contador_estancia_uci,creatinina_max,0.08278221862158049
creatinina_max,bilirrubina_media,0.0818251932813794
rr_max,ph_min,-0.08118626072910376
map_min,spo2_min,0.07698542316169525
creatinina_max,temp_max,-0.07697091699880378
gender,sofa_media,0.07693169279577566
creatinina_max,leucocitos_max,0.07690617603292478
creatinina_max,gpt_media,0.07636123946591414
contador_estancia_uci,sofa_media,0.07596640927606264
ventilacion_invasiva_6h,lactato_max,0.07365409572331612
spo2_min,bilirrubina_media,0.07320874237154783
peso_kg,bicarbonato_min,0.07257692504076264
diuresis_ml_kg_6h,plaquetas_min,0.07211197328099793
pf_min,diuresis_ml_kg_6h,0.07209329893140502
contador_estancia_uci,bicarbonato_min,0.07137441817774759
map_min,gpt_media,0.07117803866971002
rr_max,lactato_max,0.07034636778998954
fio2_media,glucemia_max,0.07020248910458733
ventilacion_invasiva_6h,diuresis_ml_kg_6h,-0.06974865229238025
anchor_age,plaquetas_min,0.06931580362236914
contador_estancia_uci,map_min,-0.06902999295530772
bilirrubina_media,hemoglobina_min,-0.06728448253061814
contador_estancia_uci,rr_max,0.06714109156737312
anchor_age,bilirrubina_media,-0.06694487245199902
hr_media,gpt_media,0.0658527501498524
hemoglobina_min,temp_max,0.06467130974792512
tp_max,temp_max,-0.06386820233226635
contador_estancia_uci,spo2_min,-0.06335677635074578
map_min,lactato_max,-0.06273786412303427
temp_max,sofa_media,-0.06265346968685116
gender,gpt_media,0.06192128827921517
spo2_min,leucocitos_max,-0.06136061043374034
gender,leucocitos_max,-0.06105863578340659
map_min,ventilacion_invasiva_6h,-0.06073961805868506
spo2_min,lactato_max,0.05980074814329169
bilirrubina_media,leucocitos_max,-0.05963237488505748
anchor_age,tp_max,0.059551923347753735
peso_kg,ph_min,-0.05948467773327431
contador_estancia_uci,ventilacion_invasiva_6h,-0.05944753845305806
diuresis_ml_kg_6h,temp_max,0.058862188254779964
ventilacion_invasiva_6h,bicarbonato_min,-0.058789783435568344
leucocitos_max,hemoglobina_min,0.05866111741809597
spo2_min,ph_min,0.05846579582076869
diuresis_ml_kg_6h,hemoglobina_min,0.05760249466156148
diuresis_ml_kg_6h,glucemia_max,-0.05658441757667114
rr_max,bilirrubina_media,-0.05585961628994262
spo2_min,sofa_media,-0.055827410989904444
gender,temp_max,0.0554931804934217
peso_kg,gpt_media,0.0553201641008151
gender,fio2_media,0.055100563366816735
diuresis_ml_kg_6h,leucocitos_max,-0.05494343762062433
pf_min,glucemia_max,-0.0544218466349051
pf_min,leucocitos_max,-0.05441885169180509
glucemia_max,temp_max,-0.05435515005783719
pf_min,tp_max,-0.05353318436566759
anchor_age,fio2_media,0.051591386664237106
ventilacion_invasiva_6h,glucemia_max,0.05139228997175737
fio2_media,ventilacion_invasiva_6h,-0.05092193701843108
hr_media,sofa_media,0.0501529700842043
ventilacion_invasiva_6h,gpt_media,0.05000796915940248
contador_estancia_uci,fio2_media,0.04995111640641944
bilirrubina_media,glucemia_max,0.049913557666499596
fio2_media,hemoglobina_min,0.04911525217394983
anchor_age,pf_min,-0.04838040597672426
map_min,bicarbonato_min,0.04759578210364702
anchor_age,hemoglobina_min,-0.047402117605748674
rr_max,tp_max,0.04632464059451904
ph_min,plaquetas_min,0.045815816150404275
leucocitos_max,sofa_media,-0.04566171977298186
gender,diuresis_ml_kg_6h,-0.045475847671820446
contador_estancia_uci,hr_media,0.04434725986387948
ventilacion_invasiva_6h,tp_max,-0.04422376643376216
plaquetas_min,glucemia_max,-0.04392402446289982
spo2_min,gpt_media,0.043065784792315334
anchor_age,gender,-0.04302266181730134
contador_estancia_uci,gcs_min,0.043000760833653104
gcs_min,creatinina_max,-0.042903762752797385
spo2_min,diuresis_ml_kg_6h,0.04221238034447647
map_min,fio2_media,-0.041786621478424386
fio2_media,plaquetas_min,0.04118130105374715
gender,tp_max,0.0411653542495536
ventilacion_invasiva_6h,plaquetas_min,-0.040595569359438824
anchor_age,bicarbonato_min,0.040356566664464015
gcs_min,temp_max,0.04026573108155549
gender,hr_media,-0.04017157715299206
peso_kg,rr_max,0.04003724231158585
map_min,hr_media,0.039613476790031986
pf_min,plaquetas_min,-0.039588169108427544
gcs_min,tp_max,-0.03941376103910936
fio2_media,temp_max,-0.03905266031693547
gpt_media,leucocitos_max,0.038291798336048934
peso_kg,lactato_max,-0.03821901702137314
fio2_media,gpt_media,0.03676196749255195
fio2_media,gcs_min,0.03663728067129383
anchor_age,ph_min,0.03619313913884453
contador_estancia_uci,diuresis_ml_kg_6h,-0.03575810636484437
anchor_age,contador_estancia_uci,0.035552526003833546
contador_estancia_uci,glucemia_max,0.03548275248928933
bicarbonato_min,hemoglobina_min,0.03541164017175005
fio2_media,bilirrubina_media,0.03472394548258774
anchor_age,rr_max,0.03274644803772234
hr_media,diuresis_ml_kg_6h,0.032174454728445025
hemoglobina_min,glucemia_max,-0.03203901441329732
spo2_min,glucemia_max,0.03195026081424852
pf_min,gpt_media,-0.03143441455357543
anchor_age,leucocitos_max,0.030840173482885855
peso_kg,contador_estancia_uci,-0.03070787288878836
contador_estancia_uci,bilirrubina_media,-0.03026028715664344
peso_kg,map_min,0.02958659470625688
tp_max,leucocitos_max,0.029087213210618433
gender,spo2_min,-0.028972202500674407
diuresis_ml_kg_6h,gpt_media,-0.028753610660532322
plaquetas_min,temp_max,0.028617857273726507
anchor_age,sofa_media,0.028583360847763084
map_min,plaquetas_min,0.028414463841446528
contador_estancia_uci,temp_max,-0.027406824103894518
hr_media,plaquetas_min,0.026161508307463794
contador_estancia_uci,plaquetas_min,0.025835142015792432
ph_min,hemoglobina_min,-0.025157518483187695
gender,gcs_min,-0.024827205514375915
ventilacion_invasiva_6h,bilirrubina_media,0.024583645906963544
map_min,glucemia_max,-0.023997189219059366
map_min,bilirrubina_media,-0.023510363332254747
gender,map_min,0.023033989196799096
gender,pf_min,-0.021250150527599296
