variable,test,n_pos,n_neg,mediana_pos,mediana_neg,estadistico,p_valor,p_valor_BH,significativa_BH,significativa_bruta
pf_min,Mann-Whitney U,332,2865,95.5,137.1429,361723.5,8.558979584104317e-13,2.2253346918671225e-11,True,True
rr_max,Mann-Whitney U,332,2865,27.0,24.0,582053.0,2.141161538930083e-11,2.7543402662823704e-10,True,True
spo2_min,Mann-Whitney U,332,2865,94.0,96.0,370304.0,3.1780849226335044e-11,2.7543402662823704e-10,True,True
sofa_max,Mann-Whitney U,332,2865,5.0,4.0,576717.0,1.662549886314714e-10,1.080657426104564e-09,True,True
fio2_max,Mann-Whitney U,332,2865,70.0,50.0,571684.5,5.260536513483424e-10,2.7354789870113803e-09,True,True
diuresis_ml_kg_6h,Mann-Whitney U,332,2865,3.6241,5.0568,377807.0,8.166960287382327e-10,3.5390161245323415e-09,True,True
map_min,Mann-Whitney U,332,2865,63.0,67.0,381856.5,3.88378226538555e-09,1.4425476985717757e-08,True,True
ph_min,Mann-Whitney U,332,2865,7.3,7.34,383954.0,8.48437545721248e-09,2.757422023594056e-08,True,True
lactato_max,Mann-Whitney U,332,2865,2.35,1.9,549217.0,3.7200285229344136e-06,1.0746749066254972e-05,True,True
bicarbonato_min,Mann-Whitney U,332,2865,21.0,22.0,410550.0,4.2403058894396284e-05,0.00011024795312543034,True,True
creatinina_max,Mann-Whitney U,332,2865,1.3,1.1,539805.5,5.337185781140122e-05,0.00012615166391785742,True,True
hr_media,Mann-Whitney U,332,2865,93.1786,88.5,536609.0,0.00012683201799395174,0.0002748027056535621,True,True
tp_max,Mann-Whitney U,332,2865,14.9,14.4,510381.0,0.02886767037326795,0.0577353407465359,False,True
ventilacion_invasiva_6h,Chi-cuadrado,332,2865,0.8404,0.7902,4.29,0.0382740149343438,0.07108031344949563,False,True
bilirrubina_media,Mann-Whitney U,332,2865,0.8,0.7,502461.5,0.09081979351363265,0.15742097542362993,False,False
leucocitos_min,Mann-Whitney U,332,2865,12.3,11.6,500626.0,0.1158380048581649,0.18823675789451794,False,False
peso_kg,Mann-Whitney U,332,2865,81.3,80.2,497313.5,0.17243296698989963,0.2545589478952662,False,False
temp_min,Mann-Whitney U,332,2865,36.6667,36.6667,454066.0,0.1762331177736458,0.2545589478952662,False,False
glucemia_min,Mann-Whitney U,332,2865,139.0,140.0,456208.0,0.22346521246263906,0.305794501264664,False,False
gender,Chi-cuadrado,332,2865,0.6235,0.5937,0.98,0.3231783147076062,0.42013180911988807,False,False
anchor_age,Mann-Whitney U,332,2865,62.5,62.0,490353.0,0.35373043852399255,0.43795197150589554,False,False
gcs_min,Mann-Whitney U,332,2865,6.0,7.0,461722.5,0.372352803305508,0.44005331299741857,False,False
gpt_max,Mann-Whitney U,332,2865,32.0,32.0,462205.0,0.40048015102616374,0.452716692464359,False,False
contador_estancia_uci,Mann-Whitney U,332,2865,1.0,1.0,484213.0,0.4324436560455309,0.4684806273826585,False,False
plaquetas_min,Mann-Whitney U,332,2865,175.5,181.0,465600.5,0.5303935251734745,0.5516092661804135,False,False
hemoglobina_min,Mann-Whitney U,332,2865,10.4,10.4,474875.0,0.9642019448506274,0.9642019448506274,False,False
