variable,vif
sofa_max,2.2236807439034973
ph_min,1.6523201917430377
lactato_max,1.6085917693057463
bicarbonato_min,1.603808016377491
bilirrubina_media,1.592171762131152
plaquetas_min,1.463799264827543
creatinina_max,1.4583483887429762
pf_min,1.423400993487412
rr_max,1.3744287979077443
spo2_min,1.3732250966332655
hr_media,1.3698834817327723
gcs_min,1.3201935289896927
tp_max,1.3153433945105055
fio2_max,1.3030198461160776
peso_kg,1.2569617087908407
temp_min,1.2526319906117163
anchor_age,1.2456446698271404
diuresis_ml_kg_6h,1.2240065964917015
gpt_max,1.2229078473964843
leucocitos_min,1.2197743214120667
hemoglobina_min,1.1683874984127949
glucemia_min,1.1333604982308543
map_min,1.1055292206759506
contador_estancia_uci,1.0421597899271164
