,anchor_age,gender,peso_kg,contador_estancia_uci,map_min,hr_media,pf_min,spo2_min,fio2_max,rr_max,gcs_min,ventilacion_invasiva_3h,creatinina_max,diuresis_ml_kg_3h,lactato_max,ph_min,bicarbonato_min,bilirrubina_media,gpt_max,tp_max,plaquetas_min,leucocitos_min,hemoglobina_min,glucemia_min,temp_min,sofa_max
anchor_age,1.0,-0.038,-0.137,0.038,-0.16,-0.167,-0.082,-0.115,0.062,0.041,0.12,-0.134,0.185,-0.104,-0.028,0.012,0.015,-0.088,-0.116,0.049,0.094,0.025,-0.043,0.123,-0.109,0.053
gender,-0.038,1.0,0.307,0.024,-0.005,-0.073,-0.025,-0.026,0.024,-0.023,-0.049,0.019,0.216,-0.062,-0.01,-0.012,0.035,0.106,0.081,0.037,-0.083,-0.055,0.127,0.013,0.058,0.071
peso_kg,-0.137,0.307,1.0,-0.02,0.02,-0.034,-0.092,-0.118,0.074,0.037,-0.041,-0.005,0.208,-0.274,-0.064,-0.056,0.079,0.1,0.049,0.032,-0.038,0.005,0.101,0.113,0.137,0.141
contador_estancia_uci,0.038,0.024,-0.02,1.0,-0.035,0.046,-0.094,-0.041,0.017,0.053,0.041,-0.082,0.116,-0.029,-0.009,-0.036,0.048,-0.02,-0.059,0.124,0.025,-0.017,-0.171,0.054,-0.027,0.077
map_min,-0.16,-0.005,0.02,-0.035,1.0,0.01,0.033,0.078,-0.043,-0.019,0.02,-0.078,-0.087,0.113,-0.041,0.114,0.044,-0.033,0.019,-0.071,0.032,0.002,0.172,-0.028,-0.015,-0.264
hr_media,-0.167,-0.073,-0.034,0.046,0.01,1.0,-0.102,-0.171,0.097,0.312,0.077,-0.086,-0.047,0.025,0.183,-0.136,-0.075,0.114,0.059,0.142,0.011,0.124,-0.03,-0.021,0.235,0.054
pf_min,-0.082,-0.025,-0.092,-0.094,0.033,-0.102,1.0,0.377,-0.424,-0.264,-0.12,0.156,-0.149,0.074,-0.083,0.243,-0.08,0.05,-0.011,-0.049,-0.046,-0.034,0.023,-0.039,-0.027,-0.093
spo2_min,-0.115,-0.026,-0.118,-0.041,0.078,-0.171,0.377,1.0,-0.223,-0.346,-0.23,0.264,-0.116,0.021,0.084,0.071,-0.096,0.12,0.044,0.018,-0.11,-0.069,-0.073,0.032,-0.128,-0.085
fio2_max,0.062,0.024,0.074,0.017,-0.043,0.097,-0.424,-0.223,1.0,0.177,-0.033,0.006,0.091,-0.084,0.062,-0.2,-0.016,0.017,0.04,0.097,0.039,0.053,0.02,0.076,-0.045,0.193
rr_max,0.041,-0.023,0.037,0.053,-0.019,0.312,-0.264,-0.346,0.177,1.0,0.205,-0.198,0.071,0.014,0.046,-0.094,-0.053,-0.083,-0.018,0.03,0.079,0.151,-0.037,-0.004,0.119,-0.002
gcs_min,0.12,-0.049,-0.041,0.041,0.02,0.077,-0.12,-0.23,-0.033,0.205,1.0,-0.41,-0.033,0.137,-0.199,0.208,0.137,-0.144,-0.178,-0.041,0.174,0.061,-0.061,-0.185,0.063,-0.187
ventilacion_invasiva_3h,-0.134,0.019,-0.005,-0.082,-0.078,-0.086,0.156,0.264,0.006,-0.198,-0.41,1.0,-0.016,-0.075,0.081,-0.116,-0.062,0.046,0.088,-0.038,-0.027,-0.003,0.068,0.048,-0.037,0.091
creatinina_max,0.185,0.216,0.208,0.116,-0.087,-0.047,-0.149,-0.116,0.091,0.071,-0.033,-0.016,1.0,-0.314,0.093,-0.25,-0.266,0.05,0.076,0.119,-0.077,0.073,-0.08,0.16,-0.058,0.402
diuresis_ml_kg_3h,-0.104,-0.062,-0.274,-0.029,0.113,0.025,0.074,0.021,-0.084,0.014,0.137,-0.075,-0.314,1.0,-0.087,0.178,0.084,-0.15,-0.06,-0.148,0.052,-0.043,0.056,-0.076,0.046,-0.259
lactato_max,-0.028,-0.01,-0.064,-0.009,-0.041,0.183,-0.083,0.084,0.062,0.046,-0.199,0.081,0.093,-0.087,1.0,-0.232,-0.361,0.329,0.292,0.28,-0.21,0.071,0.032,0.278,-0.198,0.213
ph_min,0.012,-0.012,-0.056,-0.036,0.114,-0.136,0.243,0.071,-0.2,-0.094,0.208,-0.116,-0.25,0.178,-0.232,1.0,0.4,0.005,-0.098,-0.006,0.03,-0.131,-0.04,-0.188,0.165,-0.17
bicarbonato_min,0.015,0.035,0.079,0.048,0.044,-0.075,-0.08,-0.096,-0.016,-0.053,0.137,-0.062,-0.266,0.084,-0.361,0.4,1.0,-0.117,-0.111,-0.114,0.119,-0.094,-0.009,-0.124,0.18,-0.152
bilirrubina_media,-0.088,0.106,0.1,-0.02,-0.033,0.114,0.05,0.12,0.017,-0.083,-0.144,0.046,0.05,-0.15,0.329,0.005,-0.117,1.0,0.376,0.479,-0.514,-0.079,-0.085,0.09,-0.011,0.48
gpt_max,-0.116,0.081,0.049,-0.059,0.019,0.059,-0.011,0.044,0.04,-0.018,-0.178,0.088,0.076,-0.06,0.292,-0.098,-0.111,0.376,1.0,0.228,-0.261,-0.004,0.088,0.217,0.024,0.277
tp_max,0.049,0.037,0.032,0.124,-0.071,0.142,-0.049,0.018,0.097,0.03,-0.041,-0.038,0.119,-0.148,0.28,-0.006,-0.114,0.479,0.228,1.0,-0.264,-0.013,-0.307,0.099,-0.059,0.354
plaquetas_min,0.094,-0.083,-0.038,0.025,0.032,0.011,-0.046,-0.11,0.039,0.079,0.174,-0.027,-0.077,0.052,-0.21,0.03,0.119,-0.514,-0.261,-0.264,1.0,0.341,0.129,-0.079,0.012,-0.444
leucocitos_min,0.025,-0.055,0.005,-0.017,0.002,0.124,-0.034,-0.069,0.053,0.151,0.061,-0.003,0.073,-0.043,0.071,-0.131,-0.094,-0.079,-0.004,-0.013,0.341,1.0,0.078,0.103,0.014,-0.071
hemoglobina_min,-0.043,0.127,0.101,-0.171,0.172,-0.03,0.023,-0.073,0.02,-0.037,-0.061,0.068,-0.08,0.056,0.032,-0.04,-0.009,-0.085,0.088,-0.307,0.129,0.078,1.0,-0.001,0.003,-0.224
glucemia_min,0.123,0.013,0.113,0.054,-0.028,-0.021,-0.039,0.032,0.076,-0.004,-0.185,0.048,0.16,-0.076,0.278,-0.188,-0.124,0.09,0.217,0.099,-0.079,0.103,-0.001,1.0,-0.066,0.18
temp_min,-0.109,0.058,0.137,-0.027,-0.015,0.235,-0.027,-0.128,-0.045,0.119,0.063,-0.037,-0.058,0.046,-0.198,0.165,0.18,-0.011,0.024,-0.059,0.012,0.014,0.003,-0.066,1.0,-0.071
sofa_max,0.053,0.071,0.141,0.077,-0.264,0.054,-0.093,-0.085,0.193,-0.002,-0.187,0.091,0.402,-0.259,0.213,-0.17,-0.152,0.48,0.277,0.354,-0.444,-0.071,-0.224,0.18,-0.071,1.0
