variable_1,variable_2,rho_spearman
bilirrubina_media,plaquetas_min,-0.5138762479269542
bilirrubina_media,sofa_max,0.48045486019238026
bilirrubina_media,tp_max,0.4794076799573928
plaquetas_min,sofa_max,-0.4442534187441721
pf_min,fio2_max,-0.4235100713794999
gcs_min,ventilacion_invasiva_3h,-0.41027020491538174
creatinina_max,sofa_max,0.40201518933433356
ph_min,bicarbonato_min,0.4002214217378619
pf_min,spo2_min,0.3768224751826035
bilirrubina_media,gpt_max,0.37597475440506584
lactato_max,bicarbonato_min,-0.3607055557405601
tp_max,sofa_max,0.3536007603734729
spo2_min,rr_max,-0.34620194400831805
plaquetas_min,leucocitos_min,0.34124220734736854
lactato_max,bilirrubina_media,0.3292962045376971
creatinina_max,diuresis_ml_kg_3h,-0.3140428798021557
hr_media,rr_max,0.31248335337767047
tp_max,hemoglobina_min,-0.3074503278575043
gender,peso_kg,0.3070099791654623
lactato_max,gpt_max,0.29199408564538876
lactato_max,tp_max,0.2797065549869448
lactato_max,glucemia_min,0.2777867603672961
gpt_max,sofa_max,0.27691927377007947
peso_kg,diuresis_ml_kg_3h,-0.2735607263921416
creatinina_max,bicarbonato_min,-0.26572181421481106
pf_min,rr_max,-0.2642101853032316
tp_max,plaquetas_min,-0.2640094434077929
map_min,sofa_max,-0.2639460562170703
spo2_min,ventilacion_invasiva_3h,0.26394390666079437
gpt_max,plaquetas_min,-0.26076475998061244
diuresis_ml_kg_3h,sofa_max,-0.2588498086399388
creatinina_max,ph_min,-0.2503591953761776
pf_min,ph_min,0.24343362570613092
hr_media,temp_min,0.23485206145624457
lactato_max,ph_min,-0.23240620465480843
spo2_min,gcs_min,-0.22965716311584272
gpt_max,tp_max,0.22814748624665468
hemoglobina_min,sofa_max,-0.22429503377389184
spo2_min,fio2_max,-0.2229893944770257
gpt_max,glucemia_min,0.216975878734583
gender,creatinina_max,0.21635571305179205
lactato_max,sofa_max,0.21324131092714008
lactato_max,plaquetas_min,-0.21047722514685005
gcs_min,ph_min,0.2084330814836015
peso_kg,creatinina_max,0.20813825886002627
rr_max,gcs_min,0.20514438056516157
fio2_max,ph_min,-0.20001320263847003
gcs_min,lactato_max,-0.1992341952459469
rr_max,ventilacion_invasiva_3h,-0.19838453773887058
lactato_max,temp_min,-0.19795127523222256
fio2_max,sofa_max,0.19337600048665357
ph_min,glucemia_min,-0.18843317792375278
gcs_min,sofa_max,-0.18719446536245565
anchor_age,creatinina_max,0.18490061204687588
gcs_min,glucemia_min,-0.18477801264130267
hr_media,lactato_max,0.1826798931792625
glucemia_min,sofa_max,0.18027180222127395
bicarbonato_min,temp_min,0.18006583355742242
gcs_min,gpt_max,-0.17821005057683637
diuresis_ml_kg_3h,ph_min,0.17793636355357403
fio2_max,rr_max,0.1768678587041568
gcs_min,plaquetas_min,0.17383037222607067
map_min,hemoglobina_min,0.17240153029810393
contador_estancia_uci,hemoglobina_min,-0.17097638996329792
hr_media,spo2_min,-0.17068470342574996
ph_min,sofa_max,-0.17026458782915274
anchor_age,hr_media,-0.1665533016050396
