variable,vif
sofa_max,2.1805238260436495
bilirrubina_media,1.6622320132152717
ph_min,1.5571118741834247
bicarbonato_min,1.5502907287866097
lactato_max,1.533066707257501
creatinina_max,1.4551833175281965
plaquetas_min,1.4382874338818497
spo2_min,1.3795109889658954
pf_min,1.366559640951045
hr_media,1.3611060199537985
tp_max,1.3514098418376976
gcs_min,1.3425591757603998
rr_max,1.3303310563418038
gpt_max,1.253863421769557
fio2_max,1.2486273212456467
temp_min,1.236180633733931
peso_kg,1.2343352759829262
diuresis_ml_kg_3h,1.2161562537289936
anchor_age,1.20777984954667
leucocitos_min,1.1987023419471883
hemoglobina_min,1.1730411769748956
glucemia_min,1.1566845052283863
map_min,1.1104590217204708
contador_estancia_uci,1.042862022580783
