paso,variable_eliminada,n_variables,auc,std,delta,decision
0,ninguna (referencia),24,0.6479290749152742,0.03869486489390067,0.0,referencia
1,peso_kg,23,0.6511670292582427,0.03358006906458646,0.0032379543429684743,ELIMINAR
2,hemoglobina_min,22,0.6497943259788181,0.03358175119740003,-0.0013727032794245142,ELIMINAR
3,creatinina_max,21,0.6543667605111663,0.030609187158446037,0.004572434532348124,ELIMINAR
4,plaquetas_min,20,0.6544794749776448,0.028462543923966854,0.00011271446647853622,ELIMINAR
5,contador_estancia_uci,19,0.6555031884588399,0.03090773666948743,0.001023713481195121,ELIMINAR
6,leucocitos_min,18,0.6577258579282079,0.032234584941238716,0.0022226694693679994,ELIMINAR
7,gender,17,0.6528451900333828,0.03331026369739906,-0.004880667894825108,ELIMINAR
8,ph_min,16,0.6495987042576788,0.03266489785284976,-0.0032464857757039667,ELIMINAR
9,anchor_age,15,0.6586191547355483,0.03461960770884559,0.00902045047786948,ELIMINAR
10,tp_max,14,0.6560561739196118,0.02862518386486361,-0.002562980815936533,ELIMINAR
11,ventilacion_invasiva_12h,13,0.6498030088451378,0.029848100943088755,-0.006253165074474043,CONSERVAR
12,gcs_min,13,0.6552171154582199,0.03564055972314837,-0.0008390584613918728,ELIMINAR
13,lactato_max,12,0.6496575635281892,0.03700304390337517,-0.0055595519300307705,CONSERVAR
14,hr_media,12,0.6468464487653257,0.037535329377808964,-0.008370666692894213,CONSERVAR
