modelo,auc_modelo,variable,caida_AUC_media,caida_AUC_pp,caida_AUC_desv,caida_AUC_IC_inf,caida_AUC_IC_sup,p_valor_empirico,IC_excluye_cero,p_emp_menor_005
LR,0.6964512559198476,gpt_max,0.02965,2.965,0.006832,0.019527,0.037641,0.06,True,False
LR,0.6964512559198476,pf_min,0.021783,2.1783,0.012073,0.00334,0.034057,0.104,True,False
LR,0.6964512559198476,diuresis_ml_kg_6h,0.020086,2.0086,0.009217,0.011061,0.031874,0.076,True,False
LR,0.6964512559198476,rr_max,0.01319,1.319,0.006976,0.001724,0.019599,0.148,True,False
LR,0.6964512559198476,sofa_max,0.010452,1.0452,0.005595,0.004253,0.017983,0.124,True,False
LR,0.6964512559198476,spo2_min,0.008239,0.8239,0.008659,-0.006819,0.015016,0.204,False,False
LR,0.6964512559198476,ph_min,0.006165,0.6165,0.003496,0.002741,0.011898,0.156,True,False
LR,0.6964512559198476,map_min,0.005827,0.5827,0.005987,-0.002117,0.013509,0.26,False,False
LR,0.6964512559198476,lactato_max,0.00501,0.501,0.003866,-0.000784,0.009384,0.192,False,False
LR,0.6964512559198476,hr_media,0.004585,0.4585,0.003226,0.000185,0.008912,0.2,True,False
LR,0.6964512559198476,bicarbonato_min,0.00434,0.434,0.005329,-0.00391,0.011001,0.24,False,False
LR,0.6964512559198476,temp_min,0.004047,0.4047,0.005582,-0.00045,0.013235,0.308,False,False
LR,0.6964512559198476,ventilacion_invasiva_6h,0.003095,0.3095,0.00227,0.001245,0.007031,0.208,True,False
LR,0.6964512559198476,fio2_max,0.000958,0.0958,0.001834,-0.001398,0.002819,0.332,False,False
LR,0.6964512559198476,gcs_min,0.000904,0.0904,0.001959,-0.001115,0.00403,0.324,False,False
LR,0.6964512559198476,gender,-0.000109,-0.0109,0.000598,-0.000863,0.00056,0.516,False,False
LR,0.6964512559198476,peso_kg,-0.000174,-0.0174,0.000531,-0.001022,0.000394,0.556,False,False
LR,0.6964512559198476,tp_max,-0.00022,-0.022,0.005658,-0.009938,0.004726,0.388,False,False
LR,0.6964512559198476,leucocitos_min,-0.00022,-0.022,0.000475,-0.00091,0.000433,0.544,False,False
LR,0.6964512559198476,anchor_age,-0.000476,-0.0476,0.001267,-0.002057,0.001486,0.636,False,False
LR,0.6964512559198476,contador_estancia_uci,-0.000569,-0.0569,0.001163,-0.002437,0.000534,0.588,False,False
LR,0.6964512559198476,hemoglobina_min,-0.000754,-0.0754,0.001552,-0.003121,0.000705,0.52,False,False
LR,0.6964512559198476,plaquetas_min,-0.001078,-0.1078,0.000997,-0.002302,0.0,0.792,False,False
LR,0.6964512559198476,bilirrubina_media,-0.001527,-0.1527,0.002221,-0.004271,0.000714,0.624,False,False
LR,0.6964512559198476,glucemia_min,-0.002534,-0.2534,0.004722,-0.010665,0.001694,0.744,False,False
LR,0.6964512559198476,creatinina_max,-0.002775,-0.2775,0.00226,-0.006159,-2.8e-05,0.816,False,False
RF,0.7071625281133916,pf_min,0.02478,2.478,0.007628,0.012735,0.031563,0.056,True,False
RF,0.7071625281133916,map_min,0.023664,2.3664,0.007177,0.012125,0.031917,0.044,True,True
RF,0.7071625281133916,diuresis_ml_kg_6h,0.014496,1.4496,0.006383,0.008323,0.025265,0.116,True,False
RF,0.7071625281133916,rr_max,0.013029,1.3029,0.008956,0.000836,0.023346,0.192,True,False
RF,0.7071625281133916,gpt_max,0.009618,0.9618,0.005235,0.002209,0.015469,0.1,True,False
RF,0.7071625281133916,spo2_min,0.008812,0.8812,0.005157,0.001419,0.016016,0.144,True,False
RF,0.7071625281133916,ph_min,0.007891,0.7891,0.003564,0.002463,0.012192,0.16,True,False
RF,0.7071625281133916,hr_media,0.007287,0.7287,0.001876,0.004799,0.009418,0.128,True,False
RF,0.7071625281133916,glucemia_min,0.006838,0.6838,0.002562,0.003524,0.010774,0.104,True,False
RF,0.7071625281133916,temp_min,0.006629,0.6629,0.00827,-0.005129,0.018282,0.26,False,False
RF,0.7071625281133916,sofa_max,0.005157,0.5157,0.006513,-0.005194,0.013145,0.264,False,False
RF,0.7071625281133916,lactato_max,0.003876,0.3876,0.004691,-0.003452,0.009838,0.256,False,False
RF,0.7071625281133916,ventilacion_invasiva_6h,0.002283,0.2283,0.001641,0.000657,0.00501,0.172,True,False
