variable,tipo,test,n_positivos,n_negativos,valor_positivos,valor_negativos,p_test,OR_crudo,OR_crudo_IC_inf,OR_crudo_IC_sup,p_crudo,coef_ajustado,OR_ajustado,OR_aj_IC_inf,OR_aj_IC_sup,p_ajustado,coherente
pf_min,continua,Mann-Whitney U,332,2865,95.5,137.1429,8.558979584104317e-13,,,,,-0.365,0.694,0.581,0.829,5.906352484806548e-05,True
spo2_min,continua,Mann-Whitney U,332,2865,94.0,96.0,3.1780849226335044e-11,,,,,-0.131,0.877,0.778,0.988,0.031406378257803146,True
fio2_max,continua,Mann-Whitney U,332,2865,70.0,50.0,5.260536513483424e-10,,,,,0.031,1.032,0.901,1.181,0.6505452742989433,True
rr_max,continua,Mann-Whitney U,332,2865,27.0,24.0,2.141161538930083e-11,,,,,0.242,1.274,1.12,1.449,0.00022368984843260592,True
map_min,continua,Mann-Whitney U,332,2865,63.0,67.0,3.88378226538555e-09,,,,,-0.102,0.903,0.807,1.011,0.07699101444685144,True
hr_media,continua,Mann-Whitney U,332,2865,93.1786,88.5,0.00012683201799395174,,,,,0.119,1.127,0.989,1.284,0.07309058712787353,True
diuresis_ml_kg_6h,continua,Mann-Whitney U,332,2865,3.6241,5.0568,8.166960287382327e-10,,,,,-0.287,0.75,0.647,0.87,0.00013458285015505517,True
creatinina_max,continua,Mann-Whitney U,332,2865,1.3,1.1,5.337185781140122e-05,,,,,-0.126,0.881,0.771,1.007,0.06375905712929444,False
ph_min,continua,Mann-Whitney U,332,2865,7.3,7.34,8.48437545721248e-09,,,,,0.002,1.002,0.87,1.153,0.9814688921983489,False
bicarbonato_min,continua,Mann-Whitney U,332,2865,21.0,22.0,4.2403058894396284e-05,,,,,-0.162,0.85,0.733,0.986,0.03135233951984984,True
lactato_max,continua,Mann-Whitney U,332,2865,2.35,1.9,3.7200285229344136e-06,,,,,0.019,1.019,0.895,1.161,0.7733555500070027,True
gpt_max,continua,Mann-Whitney U,332,2865,32.0,32.0,0.40048015102616374,,,,,-0.386,0.68,0.559,0.827,0.00011105789808890181,False
glucemia_min,continua,Mann-Whitney U,332,2865,139.0,140.0,0.22346521246263906,,,,,-0.05,0.951,0.843,1.073,0.41712462207900725,True
temp_min,continua,Mann-Whitney U,332,2865,36.6667,36.6667,0.1762331177736458,,,,,-0.118,0.889,0.788,1.002,0.0547916255931233,False
sofa_max,continua,Mann-Whitney U,332,2865,5.0,4.0,1.662549886314714e-10,,,,,0.26,1.297,1.133,1.485,0.00016435726655671267,True
ventilacion_invasiva_6h,binaria,Chi-cuadrado,332,2865,0.8404,0.7902,0.0382740149343438,,,,,0.214,1.239,1.079,1.422,0.002384565905819982,True
gender,binaria,Chi-cuadrado,332,2865,0.6235,0.5937,0.3231783147076062,,,,,0.066,1.068,0.946,1.205,0.2867265459539231,True
