variable,test,n_pos,n_neg,estadistico_uni,p_valor_uni,p_valor_uni_BH,sig_uni_BH
rr_max,Mann-Whitney U,172,1473,156895.0,2.8325756568018066e-07,7.3646967076846965e-06,True
spo2_min,Mann-Whitney U,172,1473,97524.0,6.184651034800765e-07,8.040046345240994e-06,True
pf_min,Mann-Whitney U,172,1473,102444.0,3.9416660646228766e-05,0.0003416110589339826,True
ph_min,Mann-Whitney U,172,1473,103350.0,7.517152703231874e-05,0.0004886149257100717,True
map_min,Mann-Whitney U,172,1473,104049.5,0.00012328840285205357,0.0005834714015497738,True
hr_media,Mann-Whitney U,172,1473,149184.5,0.00013464724651148627,0.0005834714015497738,True
fio2_max,Mann-Whitney U,172,1473,146968.5,0.0004118457869063907,0.0013636928157984805,True
sofa_max,Mann-Whitney U,172,1473,147343.5,0.0004195977894764556,0.0013636928157984805,True
lactato_max,Mann-Whitney U,172,1473,146137.0,0.0009581238865586106,0.0027679134500582085,True
diuresis_ml_kg_3h,Mann-Whitney U,172,1473,108790.5,0.0024113347545378374,0.006269470361798377,True
creatinina_max,Mann-Whitney U,172,1473,138456.0,0.04530749125176106,0.10709043386779887,False
bicarbonato_min,Mann-Whitney U,172,1473,116278.5,0.07701953511992618,0.1668756594265067,False
tp_max,Mann-Whitney U,172,1473,136656.5,0.09051019569807293,0.18102039139614587,False
glucemia_min,Mann-Whitney U,172,1473,120606.0,0.3030295037876064,0.5627690784626976,False
temp_min,Mann-Whitney U,172,1473,131334.5,0.42946809332729186,0.7361015116725467,False
contador_estancia_uci,Mann-Whitney U,172,1473,129695.5,0.4529855456446441,0.7361015116725467,False
peso_kg,Mann-Whitney U,172,1473,129756.5,0.601570419460173,0.9079768996763199,False
gender,Chi-cuadrado,172,1473,0.17,0.6757477012045865,0.9079768996763199,False
ventilacion_invasiva_3h,Chi-cuadrado,172,1473,0.15,0.7019079055792484,0.9079768996763199,False
gpt_max,Mann-Whitney U,172,1473,124641.5,0.7297893684678485,0.9079768996763199,False
bilirrubina_media,Mann-Whitney U,172,1473,124721.0,0.7394433340084148,0.9079768996763199,False
leucocitos_min,Mann-Whitney U,172,1473,128312.5,0.781636622774279,0.9079768996763199,False
plaquetas_min,Mann-Whitney U,172,1473,128147.5,0.8032103343290522,0.9079768996763199,False
hemoglobina_min,Mann-Whitney U,172,1473,125579.5,0.8522279544881358,0.9232469506954805,False
gcs_min,Mann-Whitney U,172,1473,126024.0,0.9094406797461805,0.9458183069360276,False
anchor_age,Mann-Whitney U,172,1473,126510.0,0.9773283190940871,0.9773283190940871,False
