variable,tipo,test,n_positivos,n_negativos,valor_positivos,valor_negativos,p_test,OR_crudo,OR_crudo_IC_inf,OR_crudo_IC_sup,p_crudo,coef_ajustado,OR_ajustado,OR_aj_IC_inf,OR_aj_IC_sup,p_ajustado,coherente
pf_min,continua,Mann-Whitney U,172,1473,113.0,152.5,3.9416660646228766e-05,,,,,-0.152,0.859,0.689,1.07,0.1743670355600948,True
spo2_min,continua,Mann-Whitney U,172,1473,95.0,97.0,6.184651034800765e-07,,,,,-0.148,0.863,0.731,1.019,0.0823511418307557,True
fio2_max,continua,Mann-Whitney U,172,1473,60.0,50.0,0.0004118457869063907,,,,,-0.011,0.989,0.824,1.188,0.908678917708463,False
rr_max,continua,Mann-Whitney U,172,1473,26.5,23.0,2.8325756568018066e-07,,,,,0.289,1.335,1.122,1.589,0.0011201420339533436,True
map_min,continua,Mann-Whitney U,172,1473,66.5,71.0,0.00012328840285205357,,,,,-0.113,0.894,0.763,1.046,0.1623992750333919,True
hr_media,continua,Mann-Whitney U,172,1473,98.1667,89.25,0.00013464724651148627,,,,,0.129,1.138,0.95,1.362,0.16124278867472208,True
diuresis_ml_kg_3h,continua,Mann-Whitney U,172,1473,2.2423,2.9457,0.0024113347545378374,,,,,-0.144,0.865,0.717,1.044,0.13188936563138454,True
creatinina_max,continua,Mann-Whitney U,172,1473,1.15,1.0,0.04530749125176106,,,,,-0.091,0.913,0.76,1.097,0.3300330853629051,False
ph_min,continua,Mann-Whitney U,172,1473,7.32,7.34,7.517152703231874e-05,,,,,-0.174,0.841,0.696,1.015,0.07130707891100609,True
bicarbonato_min,continua,Mann-Whitney U,172,1473,21.0,22.0,0.07701953511992618,,,,,-0.081,0.922,0.757,1.122,0.4167828696083091,True
lactato_max,continua,Mann-Whitney U,172,1473,2.4,1.9,0.0009581238865586106,,,,,0.122,1.13,0.951,1.343,0.16605522971827935,True
gpt_max,continua,Mann-Whitney U,172,1473,34.5,34.0,0.7297893684678485,,,,,-0.315,0.73,0.579,0.919,0.007525617832898059,False
glucemia_min,continua,Mann-Whitney U,172,1473,139.5,147.0,0.3030295037876064,,,,,-0.11,0.896,0.754,1.065,0.213450139068321,True
temp_min,continua,Mann-Whitney U,172,1473,36.7778,36.7778,0.42946809332729186,,,,,0.041,1.042,0.875,1.24,0.644682253721538,True
sofa_max,continua,Mann-Whitney U,172,1473,4.0,3.0,0.0004195977894764556,,,,,0.214,1.239,1.033,1.486,0.020717401330018335,True
ventilacion_invasiva_3h,binaria,Chi-cuadrado,172,1473,0.814,0.7984,0.7019079055792484,,,,,0.107,1.113,0.931,1.33,0.23961557557420876,True
gender,binaria,Chi-cuadrado,172,1473,0.5756,0.5954,0.6757477012045865,,,,,-0.038,0.963,0.817,1.135,0.6528094708792689,True
