modelo,auc_modelo,variable,caida_AUC_media,caida_AUC_pp,caida_AUC_desv,caida_AUC_IC_inf,caida_AUC_IC_sup,p_valor_empirico,IC_excluye_cero,p_emp_menor_005
LR,0.6439371100619824,pf_min,0.019234,1.9234,0.008176,0.009328,0.028704,0.108,True,False
LR,0.6439371100619824,bicarbonato_min,0.012792,1.2792,0.006723,0.001658,0.019713,0.132,True,False
LR,0.6439371100619824,rr_max,0.010502,1.0502,0.005268,0.00404,0.017571,0.1,True,False
LR,0.6439371100619824,temp_min,0.007181,0.7181,0.001761,0.00482,0.008734,0.152,True,False
LR,0.6439371100619824,map_min,0.007043,0.7043,0.003279,0.003356,0.011363,0.16,True,False
LR,0.6439371100619824,spo2_min,0.005883,0.5883,0.005039,0.001899,0.014668,0.228,True,False
LR,0.6439371100619824,sofa_max,0.005584,0.5584,0.005886,-0.000997,0.014541,0.284,False,False
LR,0.6439371100619824,glucemia_min,0.005417,0.5417,0.004712,-0.001068,0.01048,0.236,False,False
LR,0.6439371100619824,hr_media,0.003167,0.3167,0.003722,-0.001908,0.00787,0.256,False,False
LR,0.6439371100619824,gpt_max,0.003163,0.3163,0.008657,-0.011797,0.010727,0.284,False,False
LR,0.6439371100619824,anchor_age,0.002255,0.2255,0.00192,-0.000102,0.005125,0.26,False,False
LR,0.6439371100619824,bilirrubina_media,0.001703,0.1703,0.00286,-0.001724,0.00546,0.356,False,False
LR,0.6439371100619824,tp_max,0.001269,0.1269,0.00391,-0.004526,0.006582,0.388,False,False
LR,0.6439371100619824,fio2_max,0.001107,0.1107,0.002223,-0.002658,0.003306,0.284,False,False
LR,0.6439371100619824,lactato_max,0.00093,0.093,0.002399,-0.002757,0.003614,0.344,False,False
LR,0.6439371100619824,ventilacion_invasiva_12h,0.000665,0.0665,0.001598,-0.001263,0.002703,0.328,False,False
LR,0.6439371100619824,gender,0.000648,0.0648,0.001537,-0.000945,0.002593,0.388,False,False
LR,0.6439371100619824,ph_min,0.000395,0.0395,0.000732,-0.000294,0.001524,0.396,False,False
LR,0.6439371100619824,peso_kg,-6.7e-05,-0.0067,0.001847,-0.002391,0.002823,0.552,False,False
LR,0.6439371100619824,gcs_min,-0.000222,-0.0222,0.002162,-0.003154,0.002066,0.488,False,False
LR,0.6439371100619824,creatinina_max,-0.000359,-0.0359,0.001766,-0.002495,0.002155,0.628,False,False
LR,0.6439371100619824,contador_estancia_uci,-0.000535,-0.0535,0.000776,-0.001895,2e-05,0.7,False,False
LR,0.6439371100619824,diuresis_ml_kg_12h,-0.000693,-0.0693,0.002403,-0.004791,0.001591,0.504,False,False
LR,0.6439371100619824,plaquetas_min,-0.000885,-0.0885,0.00189,-0.004179,0.000468,0.616,False,False
LR,0.6439371100619824,hemoglobina_min,-0.001054,-0.1054,0.000639,-0.00176,-0.000277,0.808,False,False
LR,0.6439371100619824,leucocitos_min,-0.002485,-0.2485,0.002359,-0.005147,0.000518,0.78,False,False
RF,0.6554522366737681,pf_min,0.017142,1.7142,0.01098,-0.001521,0.026296,0.14,False,False
RF,0.6554522366737681,bicarbonato_min,0.012689,1.2689,0.002537,0.009614,0.016449,0.064,True,False
