variable,tipo,test,n_positivos,n_negativos,valor_positivos,valor_negativos,p_test,OR_crudo,OR_crudo_IC_inf,OR_crudo_IC_sup,p_crudo,coef_ajustado,OR_ajustado,OR_aj_IC_inf,OR_aj_IC_sup,p_ajustado,coherente
pf_min,continua,Mann-Whitney U,438,3473,88.5,115.0,2.6909252166658406e-11,,,,,-0.23,0.795,0.685,0.921,0.00232109296082842,True
spo2_min,continua,Mann-Whitney U,438,3473,93.0,94.0,1.4031324855498965e-08,,,,,-0.108,0.898,0.807,0.999,0.048872643577667074,True
fio2_max,continua,Mann-Whitney U,438,3473,70.0,60.0,2.3256739293741084e-08,,,,,0.065,1.068,0.945,1.205,0.29144519130518054,True
rr_max,continua,Mann-Whitney U,438,3473,27.0,26.0,1.6101849649280898e-07,,,,,0.185,1.203,1.078,1.343,0.0009334537131099109,True
map_min,continua,Mann-Whitney U,438,3473,61.0,64.0,3.3559063059865775e-05,,,,,-0.106,0.9,0.818,0.99,0.02962507578954132,True
hr_media,continua,Mann-Whitney U,438,3473,91.5175,88.3333,0.003639750705814605,,,,,0.073,1.076,0.962,1.203,0.20271106721542298,True
diuresis_ml_kg_12h,continua,Mann-Whitney U,438,3473,7.7822,8.8964,0.004841976864127265,,,,,-0.023,0.977,0.877,1.09,0.6810565142666669,True
creatinina_max,continua,Mann-Whitney U,438,3473,1.3,1.1,2.3353835054497777e-05,,,,,0.009,1.009,0.904,1.127,0.8672629608502564,True
ph_min,continua,Mann-Whitney U,438,3473,7.32,7.34,0.00038765509922844413,,,,,0.108,1.114,0.983,1.263,0.09124395625564677,False
bicarbonato_min,continua,Mann-Whitney U,438,3473,20.0,22.0,8.794804264365759e-08,,,,,-0.283,0.754,0.662,0.858,1.8037545225684764e-05,True
lactato_max,continua,Mann-Whitney U,438,3473,2.3,1.9,1.0176494587318366e-05,,,,,-0.031,0.97,0.863,1.09,0.6053989189781898,False
gpt_max,continua,Mann-Whitney U,438,3473,32.0,32.0,0.6972429976882815,,,,,-0.116,0.891,0.793,1.0,0.05094786642700399,False
glucemia_min,continua,Mann-Whitney U,438,3473,124.0,129.0,0.0783678748988592,,,,,-0.111,0.895,0.805,0.995,0.03960076484206925,True
temp_min,continua,Mann-Whitney U,438,3473,36.5,36.6111,0.018179170728540178,,,,,-0.118,0.888,0.8,0.986,0.026197034384622182,True
sofa_max,continua,Mann-Whitney U,438,3473,6.0,5.0,1.4300232053960966e-09,,,,,0.199,1.22,1.084,1.373,0.0009767382552847747,True
ventilacion_invasiva_12h,binaria,Chi-cuadrado,438,3473,0.8037,0.7918,0.6076539017051089,,,,,0.091,1.096,0.977,1.229,0.11944009342423044,True
gender,binaria,Chi-cuadrado,438,3473,0.6279,0.5903,0.14481617283464154,,,,,0.072,1.075,0.969,1.193,0.17362377492677739,True
