Ventana,Modelo,n_vars,AUC_ROC,AUC_ROC_std,AUC_PR,AUC_PR_std,Brier,Brier_std,BSS,BSS_std,ECE,ECE_std,LogLoss,LogLoss_std
Corto_3_12,RF,2,0.5916,0.0544,0.1772,0.0511,0.1939,0.0079,-1.0967,0.0986,0.3081,0.0071,0.5766,0.016
Corto_3_12,XGB,4,0.6225,0.0354,0.1636,0.0187,0.1042,0.0257,-0.1272,0.2831,0.0651,0.0952,0.3595,0.0681
Corto_3_12,LGBM,3,0.5703,0.0442,0.1248,0.0151,0.1458,0.0632,-0.5803,0.6948,0.1594,0.151,0.4556,0.1439
Corto_3_12,CAT,4,0.6231,0.0431,0.166,0.0119,0.0914,0.0007,0.0116,0.0096,0.0201,0.006,0.3253,0.0054
Corto_3_12,NB,3,0.6402,0.037,0.1807,0.0253,0.0948,0.0028,-0.0245,0.0248,0.0318,0.0037,0.3324,0.0101
Medio_6_24,LR,6,0.6879,0.0096,0.2224,0.0307,0.2237,0.0048,-1.4207,0.0493,0.3535,0.0034,0.6362,0.0104
Medio_6_24,RF,8,0.6901,0.0226,0.225,0.0224,0.1799,0.004,-0.9464,0.0415,0.2948,0.0037,0.5433,0.0079
Medio_6_24,XGB,6,0.6784,0.011,0.2154,0.0291,0.1605,0.0582,-0.7364,0.6286,0.2055,0.1594,0.4881,0.1406
Medio_6_24,LGBM,5,0.6604,0.0155,0.1933,0.025,0.1314,0.0511,-0.4196,0.5466,0.13,0.1403,0.4184,0.1237
Medio_6_24,CAT,7,0.696,0.0155,0.2232,0.03,0.0878,0.0009,0.0496,0.0144,0.0166,0.0106,0.3086,0.003
Medio_6_24,NB,7,0.6765,0.0182,0.1927,0.0294,0.105,0.0064,-0.136,0.0718,0.0558,0.0099,0.3633,0.0226
Largo_12_48,LR,6,0.6423,0.0347,0.1847,0.0247,0.2399,0.0029,-1.4213,0.03,0.3734,0.0078,0.673,0.006
Largo_12_48,RF,9,0.6325,0.0185,0.1962,0.0111,0.1653,0.0433,-0.668,0.437,0.2383,0.0989,0.5082,0.1019
Largo_12_48,XGB,7,0.6479,0.0425,0.1868,0.0331,0.1093,0.0249,-0.1031,0.2513,0.0643,0.0905,0.3706,0.0653
Largo_12_48,LGBM,9,0.6321,0.0309,0.185,0.0367,0.1431,0.0557,-0.444,0.5621,0.1406,0.1559,0.4496,0.132
Largo_12_48,NB,5,0.6239,0.0335,0.1702,0.0202,0.1043,0.0053,-0.0524,0.0527,0.0357,0.0124,0.3611,0.0185
Largo_12_48,CAT,6,0.6455,0.0302,0.2012,0.0213,0.0963,0.0012,0.028,0.0121,0.0141,0.0084,0.3367,0.0049
