variable,coef,OR,OR_IC_inf,OR_IC_sup,p_valor,p_valor_BH,sig_BH
pf_min,-0.323,0.724,0.615,0.852,0.0001048358938413398,0.0014677025137787574,True
diuresis_ml_kg_6h,-0.268,0.765,0.662,0.883,0.0002675167537338909,0.0017676689417827443,True
rr_max,0.229,1.257,1.108,1.426,0.00037878620181058803,0.0017676689417827443,True
sofa_max,0.22,1.246,1.098,1.413,0.0006261282055084775,0.0021914487192796713,True
map_min,-0.133,0.875,0.784,0.977,0.01792305639540607,0.049343730284269784,True
temp_min,-0.14,0.87,0.772,0.979,0.021147312978972762,0.049343730284269784,True
spo2_min,-0.112,0.894,0.796,1.004,0.05917590822543358,0.11835181645086716,False
hr_media,0.114,1.121,0.985,1.276,0.08221232356260316,0.14387156623455555,False
glucemia_min,-0.09,0.914,0.81,1.031,0.14211556501879505,0.2210686566959034,False
ph_min,-0.084,0.919,0.809,1.045,0.1973810662775507,0.27633349278857094,False
hemoglobina_min,0.067,1.07,0.95,1.204,0.26433687666186056,0.33642875211509526,False
lactato_max,0.019,1.019,0.903,1.149,0.763835514105262,0.8760339308102434,False
leucocitos_min,0.014,1.014,0.906,1.135,0.8134600786095117,0.8760339308102434,False
tp_max,0.002,1.002,0.892,1.127,0.9685669161816204,0.9685669161816204,False
