variable,caida_AUC_pp,caida_AUC_desv,IC_inf,IC_sup,p_valor_empirico,IC_excluye_cero,p_emp_sig
map_min,2.8472127342688838,0.005978561938856239,0.0179945980672886,0.032583502141195465,0.02,True,True
pf_min,2.786572621978877,0.007413774979137189,0.018659518900939087,0.0370660233666231,0.036,True,True
diuresis_ml_kg_6h,1.7249786709909878,0.008103582478685489,0.012655549278475255,0.03151484175506365,0.112,True,False
ph_min,1.5292647473554954,0.007187173097505093,0.004468484295246057,0.024118541418543873,0.12,True,False
glucemia_min,1.3376510124359897,0.003947754750553474,0.008802873428721707,0.01944436686503405,0.036,True,True
rr_max,1.06843235089439,0.009456770405429346,0.0004925834079418525,0.025485146138251508,0.232,True,False
temp_min,1.053296421576511,0.012079298387674612,-0.003869396650026681,0.028744947979191783,0.248,False,False
spo2_min,1.006484183643809,0.010552437314789423,-0.007562750100039912,0.02088308258964832,0.204,False,False
hr_media,0.9147387636350933,0.002592844910104568,0.005142138052164856,0.01227311659022371,0.124,True,False
sofa_max,0.6727040323262566,0.004796855155664069,-0.0012756307106883361,0.011067897116781968,0.236,False,False
hemoglobina_min,0.26400440266317554,0.0038594507440284555,-0.001043040900570814,0.008970291427266946,0.388,False,False
lactato_max,0.25208615919823985,0.007904869515898657,-0.009963926745976546,0.01234118647458994,0.356,False,False
tp_max,0.17731919073282648,0.006884205238712248,-0.008094662865146018,0.009810315246895407,0.372,False,False
leucocitos_min,0.043858362973701666,0.0033244604303282127,-0.003217411964785809,0.0047700161431929065,0.464,False,False
