variable,shap_abs_mean,shap_mean,direccion
map_min,0.05041573001592578,-0.03140222325948939,↓ riesgo
diuresis_ml_kg_6h,0.0484653023255612,-0.034488181771333004,↓ riesgo
pf_min,0.04638368779661641,-0.03434422298308029,↓ riesgo
rr_max,0.03793685374097055,-0.02465180460624277,↓ riesgo
ph_min,0.03703401448282119,-0.024567489152910002,↓ riesgo
spo2_min,0.035870407983111745,-0.02087860601957373,↓ riesgo
temp_min,0.03324161846125925,-0.025722735010560948,↓ riesgo
glucemia_min,0.0326879097439526,-0.029094386596214696,↓ riesgo
hr_media,0.03264212602355983,-0.027389713047092007,↓ riesgo
lactato_max,0.02794477195725618,-0.023990252039636114,↓ riesgo
sofa_max,0.02430580321999938,-0.017642398258267838,↓ riesgo
