variable,test,mediana_pos,mediana_neg,p_valor,p_valor_BH,sig_BH
pf_min,Mann-Whitney U,95.5,137.1429,8.558979584104317e-13,1.1982571417746045e-11,True
rr_max,Mann-Whitney U,27.0,24.0,2.141161538930083e-11,1.483106297228969e-10,True
spo2_min,Mann-Whitney U,94.0,96.0,3.1780849226335044e-11,1.483106297228969e-10,True
sofa_max,Mann-Whitney U,5.0,4.0,1.662549886314714e-10,5.818924602101499e-10,True
diuresis_ml_kg_6h,Mann-Whitney U,3.6241,5.0568,8.166960287382327e-10,2.2867488804670516e-09,True
map_min,Mann-Whitney U,63.0,67.0,3.88378226538555e-09,9.06215861923295e-09,True
ph_min,Mann-Whitney U,7.3,7.34,8.48437545721248e-09,1.696875091442496e-08,True
lactato_max,Mann-Whitney U,2.35,1.9,3.7200285229344136e-06,6.510049915135224e-06,True
hr_media,Mann-Whitney U,93.1786,88.5,0.00012683201799395174,0.0001972942502128138,True
tp_max,Mann-Whitney U,14.9,14.4,0.02886767037326795,0.04041473852257513,True
leucocitos_min,Mann-Whitney U,12.3,11.6,0.1158380048581649,0.14743018800130078,False
temp_min,Mann-Whitney U,36.6667,36.6667,0.1762331177736458,0.20560530406925345,False
glucemia_min,Mann-Whitney U,139.0,140.0,0.22346521246263906,0.24065484419053437,False
hemoglobina_min,Mann-Whitney U,10.4,10.4,0.9642019448506274,0.9642019448506274,False
