ventana,fold,mejor_auc_grid_interno,modelo__bagging_temperature,modelo__depth,modelo__iterations,modelo__l2_leaf_reg,modelo__learning_rate
v5p_3_12_catboost,1,0.6810466200978671,0,6,500,5,0.01
v5p_3_12_catboost,2,0.6653265297319223,0,4,500,1,0.01
v5p_3_12_catboost,3,0.7039641522400143,0,6,500,5,0.01
v5p_3_12_catboost,4,0.7029176816838266,0,6,500,5,0.01
v5p_3_12_catboost,5,0.6937793800188073,0,6,500,5,0.01
v5_6_24_catboost,1,0.6743131291651335,0,6,500,5,0.01
v5_6_24_catboost,2,0.7139197600613295,0,6,500,5,0.05
v5_6_24_catboost,3,0.6978291194998368,0,6,500,5,0.01
v5_6_24_catboost,4,0.7242740755029232,0,4,1000,5,0.01
v5_6_24_catboost,5,0.6987429905572305,0,4,500,5,0.01
v5l_12_48_catboost,1,0.6456533353460548,0,4,500,5,0.01
v5l_12_48_catboost,2,0.6955895493525025,0,4,500,1,0.01
v5l_12_48_catboost,3,0.6455493140180807,0,4,500,5,0.01
v5l_12_48_catboost,4,0.6608694582593048,0,6,500,5,0.01
v5l_12_48_catboost,5,0.6734452143166519,0,6,500,5,0.01
