ventana,fold,n_test,positivos_test,prevalencia_test,proporcion_calibracion,metodo_calibracion,n_modelo,positivos_modelo,n_calibracion,positivos_calibracion,mejor_auc_grid_interno,auc_sin_calibrar,auc_calibrado,auprc_sin_calibrar,auprc_calibrado,brier_sin_calibrar,brier_calibrado,logloss_sin_calibrar,logloss_calibrado,ece_sin_calibrar,ece_calibrado,ece_5_bins_sin_calibrar,ece_5_bins_calibrado,ece_10_bins_sin_calibrar,ece_10_bins_calibrado,ece_15_bins_sin_calibrar,ece_15_bins_calibrado,tiempo_min
v5p_3_12_catboost,1,334,35,0.10479041916167664,0.2,isotonic,1063,110,270,27,0.6810466200978671,0.7239369326325849,0.7243669374104156,0.2392474451234295,0.2064254287389897,0.08858210465584317,0.08822081440524886,0.307924255199888,0.3018312220221079,0.028924100626425767,0.012668770388431286,0.017141792491694507,0.011133838716579341,0.028924100626425767,0.012668770388431286,0.0263880144469075,0.0166591260986445,1.410793383916219
v5p_3_12_catboost,2,334,35,0.10479041916167664,0.2,isotonic,1063,110,270,27,0.6653265297319223,0.6881987577639751,0.6634973721930244,0.19740111949909317,0.1664618461884949,0.09175014100636639,0.09090135746545534,0.3218195413564213,0.512629257123987,0.02602306261889646,0.02190824248196969,0.02532714494984472,0.007264263113972994,0.02602306261889646,0.02190824248196969,0.02818711509893681,0.02190824248196969,1.3431513547897338
v5p_3_12_catboost,3,332,34,0.10240963855421686,0.2,isotonic,1067,110,268,28,0.7039641522400143,0.6634425582313463,0.5908507698381366,0.16263342925639282,0.12933212477901507,0.09182972029529443,0.09522698532942775,0.3234377615511401,0.527371659304188,0.031291507481248766,0.016399982453666466,0.031291507481248766,0.016399982453666487,0.031291507481248766,0.016399982453666466,0.04586038108344298,0.02950239209222069,1.341479496161143
v5p_3_12_catboost,4,334,34,0.10179640718562874,0.2,isotonic,1062,110,271,28,0.7029176816838266,0.6850980392156862,0.6460294117647059,0.16691399099942952,0.15122266186981587,0.09092128447687851,0.09527482551782013,0.31972094715409666,0.7213292026764884,0.029659043308573378,0.023613790151263418,0.02965904330857338,0.023613790151263404,0.029659043308573378,0.023613790151263418,0.036188888550725155,0.025977242106449975,1.3728565891583762
v5p_3_12_catboost,5,333,34,0.1021021021021021,0.2,isotonic,1066,110,268,28,0.6937793800188073,0.667027346055479,0.6499606531575841,0.23920650648671388,0.18847402674251737,0.08715778131129073,0.08801482495046849,0.3116877584596153,0.31810915432444564,0.008992947833790234,0.03386264869001284,0.008254447544380813,0.007542751796367283,0.008992947833790234,0.03386264869001284,0.03555884789556829,0.03386264869001283,1.3546857277552287
v5_6_24_catboost,1,657,68,0.1035007610350076,0.2,isotonic,2101,216,523,54,0.6743131291651335,0.7223109957055828,0.7242459802257066,0.22762794560314023,0.22443507873648763,0.08725531267510403,0.08672578386896451,0.3046131670088733,0.34856947612791106,0.011341059234582788,0.0161908107607944,0.011341059234582791,0.00866613652328359,0.011341059234582788,0.0161908107607944,0.020142684246414685,0.019093929547328962,1.289072048664093
v5_6_24_catboost,2,656,68,0.10365853658536585,0.2,isotonic,2100,215,525,55,0.7139197600613295,0.6792717086834733,0.6536114445778312,0.17873526661027597,0.15394683360249617,0.09831438223378453,0.09416301394838826,0.35765994901714054,0.4267226242412201,0.0599887420385849,0.03804683420094982,0.059988742038584904,0.011386702669805614,0.0599887420385849,0.03804683420094982,0.060645654259905896,0.011386702669805618,1.1196674744288126
v5_6_24_catboost,3,656,68,0.10365853658536585,0.2,isotonic,2099,216,526,54,0.6978291194998368,0.7290666266506602,0.7296418567426971,0.2468945449595001,0.22311917883420201,0.08644674463541441,0.08766368776363534,0.3017665882059972,0.35312341815142595,0.015254169352182632,0.020476721226814147,0.008574457594029703,0.013138423723276617,0.015254169352182632,0.020476721226814147,0.013481021208179594,0.01869045521978832,1.1349844376246134
v5_6_24_catboost,4,656,67,0.10213414634146341,0.2,isotonic,2105,217,520,54,0.7242740755029232,0.7066365963054,0.6907482958720828,0.25918253142451086,0.2166893032534579,0.08565890592669921,0.08549856563384833,0.3028888212758296,0.3998722077896967,0.020282912973848585,0.010435301874443118,0.020282912973848592,0.010435301874443121,0.020282912973848585,0.010435301874443118,0.020282912973848585,0.01373853874699744,1.170224372545878
v5_6_24_catboost,5,656,67,0.10213414634146341,0.2,isotonic,2099,217,526,54,0.6987429905572305,0.7092973164736589,0.6892025441552846,0.20870112659960582,0.1850994160805433,0.08761586237945371,0.08924301137197001,0.307380085262391,0.31432070189525413,0.02289521280616843,0.02449792622179703,0.007207985139005852,0.00877930816578451,0.02289521280616843,0.02449792622179703,0.020810533804859782,0.024497926221797025,1.1046855926513672
