ventana,fold,proporcion_calibracion,metodo_calibracion,n_modelo,positivos_modelo,n_calibracion,positivos_calibracion,mejor_auc_grid_interno,mejores_parametros,brier_sin_calibrar_en_cal,brier_calibrado_en_cal,logloss_sin_calibrar_en_cal,logloss_calibrado_en_cal,ece_sin_calibrar_en_cal,ece_calibrado_en_cal,ece_5_bins_sin_calibrar_en_cal,ece_5_bins_calibrado_en_cal,ece_10_bins_sin_calibrar_en_cal,ece_10_bins_calibrado_en_cal,ece_15_bins_sin_calibrar_en_cal,ece_15_bins_calibrado_en_cal
v5p_3_12_catboost,1,0.2,isotonic,1063,110,270,27,0.6810466200978671,"{'modelo__bagging_temperature': 0, 'modelo__depth': 6, 'modelo__iterations': 500, 'modelo__l2_leaf_reg': 5, 'modelo__learning_rate': 0.01}",0.09019500248039919,0.0852227356279644,0.31467674554289476,0.2943142344084744,0.03320928219500172,2.189606520788503e-17,0.03320928219500173,1.4186183092432555e-17,0.03320928219500172,2.189606520788503e-17,0.033209282195001744,2.0970879354030734e-17
v5p_3_12_catboost,1,0.2,sigmoid,1063,110,270,27,0.6810466200978671,"{'modelo__bagging_temperature': 0, 'modelo__depth': 6, 'modelo__iterations': 500, 'modelo__l2_leaf_reg': 5, 'modelo__learning_rate': 0.01}",0.09019500248039919,0.08903654875530526,0.31467674554289476,0.3175147779569929,0.03320928219500172,0.014095022867334868,0.03320928219500173,0.007021530879247033,0.03320928219500172,0.014095022867334868,0.033209282195001744,0.014734553711402469
v5p_3_12_catboost,2,0.2,isotonic,1063,110,270,27,0.6653265297319223,"{'modelo__bagging_temperature': 0, 'modelo__depth': 4, 'modelo__iterations': 500, 'modelo__l2_leaf_reg': 1, 'modelo__learning_rate': 0.01}",0.08926861055508155,0.08465494827710392,0.31265935590299293,0.29160982130441737,0.025019187523804852,0.0,0.019524566678225032,0.0,0.025019187523804852,0.0,0.037874428295269755,0.0
v5p_3_12_catboost,2,0.2,sigmoid,1063,110,270,27,0.6653265297319223,"{'modelo__bagging_temperature': 0, 'modelo__depth': 4, 'modelo__iterations': 500, 'modelo__l2_leaf_reg': 1, 'modelo__learning_rate': 0.01}",0.08926861055508155,0.08957243433165776,0.31265935590299293,0.3188180131292554,0.025019187523804852,0.03579872055595639,0.019524566678225032,0.01567752549542063,0.025019187523804852,0.03579872055595639,0.037874428295269755,0.015677525495420622
v5p_3_12_catboost,3,0.2,isotonic,1067,110,268,28,0.7039641522400143,"{'modelo__bagging_temperature': 0, 'modelo__depth': 6, 'modelo__iterations': 500, 'modelo__l2_leaf_reg': 5, 'modelo__learning_rate': 0.01}",0.09003005819207537,0.08522827041264268,0.32054025362335214,0.2983349518049152,0.029554562354679518,9.838730162256519e-18,0.023987701255802997,0.0,0.029554562354679518,9.838730162256519e-18,0.033458171500264915,1.5534837098299764e-17
v5p_3_12_catboost,3,0.2,sigmoid,1067,110,268,28,0.7039641522400143,"{'modelo__bagging_temperature': 0, 'modelo__depth': 6, 'modelo__iterations': 500, 'modelo__l2_leaf_reg': 5, 'modelo__learning_rate': 0.01}",0.09003005819207537,0.08955712522899585,0.32054025362335214,0.31903489806218327,0.029554562354679518,0.014559217138290429,0.023987701255802997,0.008118432098652551,0.029554562354679518,0.014559217138290429,0.033458171500264915,0.023923464504029584
v5p_3_12_catboost,4,0.2,isotonic,1062,110,271,28,0.7029176816838266,"{'modelo__bagging_temperature': 0, 'modelo__depth': 6, 'modelo__iterations': 500, 'modelo__l2_leaf_reg': 5, 'modelo__learning_rate': 0.01}",0.09252125167125695,0.08612398063988433,0.3329031852040293,0.29917974284151866,0.05710289362392827,1.0344328919477935e-17,0.02893017071561594,1.3519320964070172e-17,0.05710289362392827,1.0344328919477935e-17,0.037372870157463614,1.0344328919477935e-17
v5p_3_12_catboost,4,0.2,sigmoid,1062,110,271,28,0.7029176816838266,"{'modelo__bagging_temperature': 0, 'modelo__depth': 6, 'modelo__iterations': 500, 'modelo__l2_leaf_reg': 5, 'modelo__learning_rate': 0.01}",0.09252125167125695,0.09092093829404223,0.3329031852040293,0.32582808309876504,0.05710289362392827,0.030213294074665838,0.02893017071561594,0.0046744022431593115,0.05710289362392827,0.030213294074665838,0.037372870157463614,0.013680984950175853
v5p_3_12_catboost,5,0.2,isotonic,1066,110,268,28,0.6937793800188073,"{'modelo__bagging_temperature': 0, 'modelo__depth': 6, 'modelo__iterations': 500, 'modelo__l2_leaf_reg': 5, 'modelo__learning_rate': 0.01}",0.09199520466401355,0.08536091096242923,0.33214442499011537,0.2952475930919169,0.030120557371620782,2.6098526325143607e-17,0.030120557371620796,1.3359959904537798e-17,0.030120557371620782,2.6098526325143607e-17,0.03941524875226374,2.4027214712036968e-17
v5p_3_12_catboost,5,0.2,sigmoid,1066,110,268,28,0.6937793800188073,"{'modelo__bagging_temperature': 0, 'modelo__depth': 6, 'modelo__iterations': 500, 'modelo__l2_leaf_reg': 5, 'modelo__learning_rate': 0.01}",0.09199520466401355,0.09129739192924594,0.33214442499011537,0.32446997769328384,0.030120557371620782,0.007704467171338392,0.030120557371620796,0.0018473271792264969,0.030120557371620782,0.007704467171338392,0.03941524875226374,0.021349858301852185
