decil_calibrado,n,positivos,frecuencia_observada,probabilidad_media_sin_calibrar,probabilidad_media_calibrada
1,331,9,0.027190332326283987,0.023339803296031726,0.008064863476798238
2,444,17,0.038288288288288286,0.04447559814212131,0.04005585332313569
3,286,12,0.04195804195804196,0.05400891695397865,0.05470055902213731
4,396,35,0.08838383838383838,0.07793527349608712,0.06471596183706502
5,255,20,0.0784313725490196,0.05572394273229073,0.07993482800742856
6,289,19,0.0657439446366782,0.03516872001163343,0.09795761980218978
7,296,37,0.125,0.11539483890480441,0.11327697840994036
8,342,58,0.1695906432748538,0.1284242729077894,0.12655412312287997
9,447,75,0.16778523489932887,0.15114657574621057,0.17398356286919947
10,195,56,0.28717948717948716,0.2931698057319568,0.3485043895000914
