decil_calibrado,n,positivos,frecuencia_observada,probabilidad_media_sin_calibrar,probabilidad_media_calibrada
1,470,20,0.0425531914893617,0.05652263791591402,0.021985809603575955
2,407,28,0.0687960687960688,0.0685235984871461,0.04826831046658646
3,438,23,0.05251141552511415,0.059172937029536084,0.06862592074758363
4,326,25,0.07668711656441718,0.08133519773622684,0.07607979177834623
5,565,59,0.10442477876106195,0.09646213512653917,0.09388328089456352
6,339,32,0.0943952802359882,0.09802124396835138,0.12180682518156373
7,412,63,0.1529126213592233,0.13114699458227297,0.1385741888503005
8,497,78,0.15694164989939638,0.14695890846115922,0.15405169312643496
9,368,60,0.16304347826086957,0.15409652576612998,0.167959774431071
10,258,67,0.2596899224806202,0.25047184616333923,0.32320830254140503
