subgrupo,algoritmo,auc,std,tiempo_min
GLOBAL,CAT,0.6657121188330943,0.038310684313644254,7.1352158188819885
GLOBAL,RF,0.6558920049105192,0.03505337604275417,5.340490913391113
GLOBAL,LGBM,0.6527001762042896,0.02748807905851933,1.0767800728480021
GLOBAL,LR,0.6520584427897683,0.04688158510237721,0.09352134466171265
GLOBAL,XGB,0.6496435243056418,0.03002818977447189,1.6574570695559183
GLOBAL,NB,0.6368659577489312,0.04717694944669695,0.041322064399719236
NO SÉPTICOS,XGB,0.6610301196142834,0.05005060284948144,1.2440092166264851
NO SÉPTICOS,CAT,0.6584196017907613,0.054087119104501764,5.86322508653005
NO SÉPTICOS,RF,0.6582452772197851,0.04056972403145217,3.8453165094057717
NO SÉPTICOS,LR,0.6463826540545939,0.04260619049145489,0.030846850077311198
NO SÉPTICOS,LGBM,0.6404252765229153,0.04076230006940641,0.91601083278656
NO SÉPTICOS,NB,0.6333091146902177,0.032456000038873625,0.0350920041402181
SÉPTICOS,CAT,0.6472862070285726,0.040073843053757725,5.372910284996033
SÉPTICOS,NB,0.6460518853373742,0.04080838856871005,0.022598711649576823
SÉPTICOS,RF,0.6334437760706205,0.04723784196660771,3.235035741329193
SÉPTICOS,XGB,0.6333070464361399,0.052081606636614014,0.9039695541063945
SÉPTICOS,LR,0.6307571565679353,0.04248230705529745,0.019781827926635742
SÉPTICOS,LGBM,0.6252210856294341,0.045044040251581714,0.6630774299303691
