variable,caida_AUC_pp,caida_AUC_desv,IC_inf,IC_sup,p_valor_empirico,IC_excluye_cero,p_emp_sig
pf_min,2.0855158237676106,0.012102810286016065,0.005373118928618648,0.03804031830238721,0.116,True,False
bicarbonato_min,1.3064313499994051,0.004988083796061839,0.008782037857649121,0.020770444773363424,0.096,True,False
sofa_max,1.2080631488684264,0.0036671371262389347,0.007126852499642451,0.016280615962433402,0.136,True,False
diuresis_ml_kg_12h,1.1298012441613103,0.005830976271359219,0.0039886150630978,0.020442391203766636,0.12,True,False
ventilacion_invasiva_12h,1.0313195548743086,0.005459079141150293,0.003749135044683576,0.018004304660856393,0.136,True,False
temp_min,1.011235742118021,0.003759762848565831,0.0053554325716081205,0.015994918173843613,0.084,True,False
spo2_min,0.8864571252483041,0.004172355980068092,0.004297552478869146,0.014814641909814278,0.176,True,False
map_min,0.7568935473447141,0.003807039005849692,0.0015347054586130025,0.01202158393330805,0.208,True,False
glucemia_min,0.6946774648537388,0.005936040801596527,-0.0021023060314872967,0.014544600227358824,0.224,False,False
gcs_min,0.6583571716967146,0.005725464250923131,-0.00284002060047023,0.01260738158393327,0.204,False,False
rr_max,0.6499677178441948,0.004479505112586581,-2.388783630163276e-05,0.012785112928257129,0.172,False,False
lactato_max,0.48688329203717234,0.0035821462261789324,-0.0009995358873101149,0.008802000757862803,0.236,False,False
bilirrubina_media,0.3553072945516861,0.0029320482384519067,-0.0006268854656314841,0.007765664961824157,0.292,False,False
hr_media,0.2398111902472545,0.007170823849096485,-0.009235885977234862,0.009887194686191536,0.36,False,False
ph_min,-0.04018264682141957,0.00414922854427532,-0.006801613934654638,0.004700568397120098,0.504,False,False
