variable,shap_abs_mean,shap_mean,direccion
pf_min,0.04479747053784376,-0.028041517858814563,↓ riesgo
diuresis_ml_kg_12h,0.032754014645431685,-0.025770915447490352,↓ riesgo
bicarbonato_min,0.03250128868209925,-0.01987674363215322,↓ riesgo
map_min,0.031715246317333703,-0.02224964757062893,↓ riesgo
spo2_min,0.030378774814681767,-0.01803215121145638,↓ riesgo
hr_media,0.03007266863271866,-0.024842681807254213,↓ riesgo
sofa_max,0.02990180017648999,-0.01638132605058163,↓ riesgo
temp_min,0.027686018279903583,-0.022017688770414132,↓ riesgo
glucemia_min,0.02735998141125777,-0.023464141253632456,↓ riesgo
lactato_max,0.02680710875880431,-0.022602805441825868,↓ riesgo
rr_max,0.026510168053726524,-0.019354154131764296,↓ riesgo
bilirrubina_media,0.021608129922796284,-0.0191369595419021,↓ riesgo
gcs_min,0.014031849960136133,-0.012067060198791196,↓ riesgo
ventilacion_invasiva_12h,0.003493009480351505,-0.0020211535134251235,↓ riesgo
