variable,test,mediana_pos,mediana_neg,p_valor,p_valor_BH,sig_BH
pf_min,Mann-Whitney U,88.5,115.0,2.6909252166658406e-11,4.036387824998761e-10,True
sofa_max,Mann-Whitney U,6.0,5.0,1.4300232053960966e-09,1.0725174040470724e-08,True
spo2_min,Mann-Whitney U,93.0,94.0,1.4031324855498965e-08,7.015662427749482e-08,True
bicarbonato_min,Mann-Whitney U,20.0,22.0,8.794804264365759e-08,3.2980515991371596e-07,True
rr_max,Mann-Whitney U,27.0,26.0,1.6101849649280898e-07,4.83055489478427e-07,True
lactato_max,Mann-Whitney U,2.3,1.9,1.0176494587318366e-05,2.5441236468295915e-05,True
map_min,Mann-Whitney U,61.0,64.0,3.3559063059865775e-05,7.191227798542665e-05,True
ph_min,Mann-Whitney U,7.32,7.34,0.00038765509922844413,0.0007268533110533328,True
hr_media,Mann-Whitney U,91.5175,88.3333,0.003639750705814605,0.006066251176357675,True
diuresis_ml_kg_12h,Mann-Whitney U,7.7822,8.8964,0.004841976864127265,0.007262965296190898,True
bilirrubina_media,Mann-Whitney U,0.8,0.7,0.00704857285810247,0.009611690261048822,True
temp_min,Mann-Whitney U,36.5,36.6111,0.018179170728540178,0.02272396341067522,True
glucemia_min,Mann-Whitney U,124.0,129.0,0.0783678748988592,0.09042447103714522,False
gcs_min,Mann-Whitney U,6.0,6.0,0.30582453948794286,0.3276691494513673,False
ventilacion_invasiva_12h,Chi-cuadrado,0.8037,0.7918,0.6076539017051089,0.6076539017051089,False
