Variable,MIMIC,eICU,p
── Corto 3-12h ──,,,
N,"1,667",789,—
Edad (años),60.0 [48.0–70.0],63.0 [50.0–74.0],0.002
Género masculino,995 (59.7%),449 (56.9%),0.206
Peso (kg),80.2 [67.3–97.0],82.9 [69.2–99.7],0.019
SOFA máx,4.0 [2.0–6.0],7.0 [5.0–9.0],<0.001
Primera estancia UCI,"1,334 (80.0%)",682 (86.4%),<0.001
Noradrenalina (positivos),172 (10.3%),114 (14.4%),0.004
Horas hasta norad *,6.0 [4.4–8.4],5.9 [4.2–8.1],0.473
── Medio 6-24h ──,,,
N,"3,282","1,396",—
Edad (años),62.0 [50.0–73.0],61.0 [49.0–72.0],0.248
Género masculino,"1,971 (60.1%)",794 (56.9%),0.047
Peso (kg),80.3 [67.3–96.0],82.2 [68.5–100.0],0.003
SOFA máx,4.0 [2.0–6.0],7.0 [5.0–9.0],<0.001
Primera estancia UCI,"2,575 (78.5%)","1,193 (85.5%)",<0.001
Noradrenalina (positivos),338 (10.3%),166 (11.9%),0.120
Horas hasta norad *,10.9 [8.0–16.2],11.2 [8.0–15.5],0.659
── Largo 12-48h ──,,,
N,"4,088","2,030",—
Edad (años),62.0 [50.0–73.0],62.0 [51.0–73.0],0.989
Género masculino,"2,444 (59.8%)","1,136 (56.0%)",0.005
Peso (kg),80.5 [67.3–97.2],83.3 [68.1–100.0],<0.001
SOFA máx,5.0 [3.0–7.0],7.0 [6.0–9.0],<0.001
Primera estancia UCI,"3,305 (80.8%)","1,721 (84.8%)",<0.001
Noradrenalina (positivos),456 (11.2%),199 (9.8%),0.117
Horas hasta norad *,22.3 [16.2–31.3],19.2 [14.6–27.7],0.003
