params,mean_test_score,std_test_score,rank_test_score
"{'max_depth': 20, 'min_samples_leaf': 2, 'n_estimators': 400}",0.6963133901648773,0.012654947254206683,1
"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 400}",0.6949705496480719,0.012489453093436126,2
"{'max_depth': 20, 'min_samples_leaf': 2, 'n_estimators': 300}",0.6946401671976385,0.009074476255604647,3
"{'max_depth': 20, 'min_samples_leaf': 2, 'n_estimators': 500}",0.6943163680586141,0.010952686549542798,4
"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 500}",0.6939461079592899,0.011116950321934018,5
"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 300}",0.6935332941889683,0.007570764411384433,6
"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 400}",0.6895714761791892,0.007453894348755096,7
"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 500}",0.6890346104985313,0.008139218623934838,8
"{'max_depth': 20, 'min_samples_leaf': 5, 'n_estimators': 500}",0.6889887510166656,0.00781405598989039,9
"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 400}",0.6883631183040505,0.006900107707617492,10
"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 500}",0.6882551134763322,0.007170177503211292,11
"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 300}",0.6878377649484656,0.008682702579110555,12
"{'max_depth': 20, 'min_samples_leaf': 5, 'n_estimators': 400}",0.6878289595083976,0.007210380878552991,13
"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 400}",0.6877725871488414,0.007347552662326558,14
"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 500}",0.6877547681181827,0.0065887348531660445,15
"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 300}",0.6876566350088518,0.007724378669696599,16
"{'max_depth': 20, 'min_samples_leaf': 5, 'n_estimators': 300}",0.6876179682065926,0.007934201062123308,17
"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 300}",0.6871365185997552,0.006475829202797912,18
"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 300}",0.6864822697152565,0.007200759814539995,19
"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 400}",0.6858485221489236,0.009641364472020443,20
"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 400}",0.6855649116082887,0.006034862455883181,21
"{'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 500}",0.6851082574393784,0.008014450342443797,22
"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 500}",0.6849801269854637,0.00749874822399162,23
"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 500}",0.6848843034883448,0.008632081151801764,24
"{'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 400}",0.6847739489034416,0.008785135454615152,25
"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 300}",0.6831278258812011,0.011210277253802404,26
"{'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 300}",0.6811187414869453,0.00823824136138069,27
