params,mean_test_score,std_test_score,rank_test_score
"{'depth': 7, 'l2_leaf_reg': 5}",0.6600059369775481,0.01429351367648854,1
"{'depth': 7, 'l2_leaf_reg': 15}",0.6590152139471758,0.012295607138929503,2
"{'depth': 6, 'l2_leaf_reg': 15}",0.6578589727493049,0.012499063102507134,3
"{'depth': 6, 'l2_leaf_reg': 5}",0.6563935413742233,0.010769935867908077,4
"{'depth': 5, 'l2_leaf_reg': 15}",0.655820447989273,0.013929062427416598,5
"{'depth': 5, 'l2_leaf_reg': 5}",0.6549450130301543,0.013464089260938443,6
"{'depth': 7, 'l2_leaf_reg': 1}",0.6543780670209669,0.016159431888990834,7
"{'depth': 4, 'l2_leaf_reg': 1}",0.6541921036486835,0.01014297325285944,8
"{'depth': 4, 'l2_leaf_reg': 5}",0.6524501755044247,0.012018966129761756,9
"{'depth': 5, 'l2_leaf_reg': 1}",0.6518082807620089,0.011844395603752195,10
"{'depth': 4, 'l2_leaf_reg': 15}",0.6517952517489419,0.01327306281192749,11
"{'depth': 6, 'l2_leaf_reg': 1}",0.6508095409169811,0.013131721518252211,12
