params,mean_test_score,std_test_score,rank_test_score
"{'depth': 4, 'l2_leaf_reg': 15}",0.6728695443318182,0.01482708025775889,1
"{'depth': 5, 'l2_leaf_reg': 15}",0.6692197286795839,0.015571973598492314,2
"{'depth': 4, 'l2_leaf_reg': 5}",0.664900069114923,0.023263604172498942,3
"{'depth': 5, 'l2_leaf_reg': 1}",0.6645384848776522,0.023391356990814082,4
"{'depth': 4, 'l2_leaf_reg': 1}",0.6642190738909969,0.03369442878559495,5
"{'depth': 5, 'l2_leaf_reg': 5}",0.6627621642132329,0.02165974278588204,6
"{'depth': 7, 'l2_leaf_reg': 5}",0.6615585739985897,0.01680284487295089,7
"{'depth': 7, 'l2_leaf_reg': 15}",0.661249033813352,0.01548047036784945,8
"{'depth': 6, 'l2_leaf_reg': 15}",0.6603267119390437,0.015164110650651624,9
"{'depth': 6, 'l2_leaf_reg': 1}",0.6599783279916993,0.028750831480944837,10
"{'depth': 6, 'l2_leaf_reg': 5}",0.6582680623343674,0.01862756730226103,11
"{'depth': 7, 'l2_leaf_reg': 1}",0.6527491539548977,0.03199432231337124,12
