variable,shap_medio_absoluto
pf_min,0.03711056431398397
map_min,0.03510770081570943
diuresis_ml_kg_6h,0.03153693765865076
rr_max,0.028475735605523377
spo2_min,0.027470016071847195
ph_min,0.02374174479618258
hr_media,0.02141703443383394
temp_min,0.019597203490450937
glucemia_min,0.017960962612128397
lactato_max,0.01791959494604587
sofa_max,0.017339849741124975
gpt_max,0.01718655070546172
fio2_max,0.014506649024940584
bicarbonato_min,0.013418314651220205
leucocitos_min,0.013312805447755231
anchor_age,0.013251312585691583
tp_max,0.013061544192710156
peso_kg,0.012378558352372955
hemoglobina_min,0.011930656777122356
plaquetas_min,0.011840236653653536
creatinina_max,0.010065070986730328
bilirrubina_media,0.009474667334828962
gcs_min,0.007485696317698298
ventilacion_invasiva_6h,0.004357552393390021
gender,0.002034629518084825
contador_estancia_uci,0.0015583259645398652
