proporcion,metodo,brier_score,n_modelo,n_calibracion,fold
0.15,isotonic,0.07639850765139655,2235,389,1
0.1,isotonic,0.07902456772596173,2363,261,1
0.2,isotonic,0.0825219014100498,2101,523,1
0.15,sigmoid,0.08267057018421084,2235,389,1
0.25,isotonic,0.0834920917208985,1973,651,1
0.3,isotonic,0.08384361844845482,1840,784,1
0.4,isotonic,0.08539571114671744,1578,1046,1
0.35,isotonic,0.08581669799202835,1707,917,1
0.25,sigmoid,0.08647394014239751,1973,651,1
0.3,sigmoid,0.0865050426742398,1840,784,1
0.1,sigmoid,0.08657398313303877,2363,261,1
0.2,sigmoid,0.08691982404161014,2101,523,1
0.4,sigmoid,0.08783848432978582,1578,1046,1
0.35,sigmoid,0.08871229743776622,1707,917,1
0.35,isotonic,0.08629145001460822,1708,917,2
0.4,isotonic,0.08648890621078666,1577,1048,2
0.3,isotonic,0.08678982609960816,1836,789,2
0.1,isotonic,0.08732960238782088,2363,262,2
0.25,isotonic,0.08751480445416121,1971,654,2
0.15,isotonic,0.08795588863419683,2231,394,2
0.2,isotonic,0.08795944585211192,2100,525,2
0.4,sigmoid,0.08846342352109093,1577,1048,2
0.35,sigmoid,0.08858384839263676,1708,917,2
0.3,sigmoid,0.08915883622549892,1836,789,2
0.1,sigmoid,0.09030119791094046,2363,262,2
0.25,sigmoid,0.09030265730244945,1971,654,2
0.2,sigmoid,0.09047983275236003,2100,525,2
0.15,sigmoid,0.09085798456873194,2231,394,2
0.1,isotonic,0.0761108659565743,2361,264,3
0.15,isotonic,0.07906253046056837,2230,395,3
0.1,sigmoid,0.08127109983047628,2361,264,3
0.25,isotonic,0.08247447738748044,1965,660,3
0.2,isotonic,0.082779585538045,2099,526,3
0.3,isotonic,0.08330376899086399,1833,792,3
0.35,isotonic,0.08346573548629221,1703,922,3
0.15,sigmoid,0.08380737925320111,2230,395,3
0.3,sigmoid,0.08541499441465869,1833,792,3
0.25,sigmoid,0.08543826835330509,1965,660,3
0.4,isotonic,0.0854534719004297,1571,1054,3
0.35,sigmoid,0.08588954019511998,1703,922,3
0.2,sigmoid,0.08654512029685815,2099,526,3
0.4,sigmoid,0.08753131955435002,1571,1054,3
0.15,isotonic,0.0826055683450751,2237,388,4
0.1,isotonic,0.08347770481879793,2365,260,4
0.2,isotonic,0.08571123901077687,2105,520,4
0.15,sigmoid,0.08728948162507374,2237,388,4
0.1,sigmoid,0.08741019434837724,2365,260,4
0.4,isotonic,0.08775259543280975,1584,1041,4
0.25,isotonic,0.08786616031909862,1977,648,4
0.3,isotonic,0.08834822774759826,1848,777,4
0.35,isotonic,0.08858774087900573,1718,907,4
0.2,sigmoid,0.08954272495001292,2105,520,4
0.25,sigmoid,0.09056300004617952,1977,648,4
0.3,sigmoid,0.09069212415002426,1848,777,4
0.4,sigmoid,0.0907526342779742,1584,1041,4
0.35,sigmoid,0.09110808929400005,1718,907,4
0.1,isotonic,0.0751995028236098,2360,265,5
0.15,isotonic,0.07711416124921595,2231,394,5
0.1,sigmoid,0.0799455172338352,2360,265,5
0.25,isotonic,0.0805548413737177,1966,659,5
0.2,isotonic,0.08068348001808079,2099,526,5
0.15,sigmoid,0.08115416613578244,2231,394,5
0.4,isotonic,0.08262192044119397,1570,1055,5
0.35,isotonic,0.08315759111879105,1701,924,5
0.3,isotonic,0.08402990779078554,1835,790,5
0.25,sigmoid,0.08424350452421164,1966,659,5
0.4,sigmoid,0.0851098572650639,1570,1055,5
0.35,sigmoid,0.08531678319576089,1701,924,5
0.2,sigmoid,0.0853735637518572,2099,526,5
0.3,sigmoid,0.08707429094767481,1835,790,5
