variable,shap_medio_absoluto
rr_max,0.12708552269433998
pf_min,0.11222489637405168
spo2_min,0.10953616181096468
map_min,0.09869501099776552
diuresis_ml_kg_3h,0.0885759145556154
hr_media,0.08736421298018152
temp_min,0.08318572849299175
lactato_max,0.07296938280514287
gpt_max,0.06539128463698955
ph_min,0.05838690988287186
fio2_max,0.05518387764024184
sofa_max,0.04994308185084926
bicarbonato_min,0.02877166309012671
glucemia_min,0.02349151552323842
peso_kg,0.019041354161895337
anchor_age,0.018882187932139624
gcs_min,0.017407383236717696
gender,0.017331407417026202
hemoglobina_min,0.015764443827844424
tp_max,0.015506456233824522
ventilacion_invasiva_3h,0.01373465815332133
creatinina_max,0.011545051980837238
plaquetas_min,0.009862138903878716
bilirrubina_media,0.009392327997151397
contador_estancia_uci,0.009012248112851808
leucocitos_min,0.00817549248185841
