test_size_calibracion,metodo_calibracion,fold,n_modelo,positivos_modelo,n_calibracion,positivos_calibracion,n_test,positivos_test,prevalencia_test,auc_sin_calibrar,auc_calibrado,auprc_sin_calibrar,auprc_calibrado,brier_sin_calibrar,brier_calibrado,logloss_sin_calibrar,logloss_calibrado,ece_sin_calibrar,ece_calibrado,tiempo_min
0.2,sigmoid,1,2612,290,651,74,817,91,0.11138310893512852,0.605303787121969,0.605303787121969,0.16021465005393454,0.16021465005393454,0.09801561177158487,0.10009651460213875,0.3441343886303229,0.348711963119497,0.018386986963474093,0.021820141846548353,0.02859230836232503
0.2,sigmoid,2,2610,291,655,73,815,91,0.1116564417177914,0.6117266711189364,0.6117266711189364,0.16432429053512676,0.16432429053512676,0.09841600523240082,0.09807068468263505,0.34720381428207203,0.3439918816169433,0.015008582427656014,0.03081873836836494,0.026453836758931478
0.2,sigmoid,3,2614,291,650,73,816,91,0.11151960784313726,0.7088594164456232,0.7088594164456232,0.2873768836569162,0.2873768836569162,0.09328802395585799,0.09441227832737453,0.3237494565971333,0.3304074417710886,0.026501921840445385,0.0416541623839351,0.026986952622731528
0.2,sigmoid,4,2610,291,654,73,816,91,0.11151960784313726,0.7199393709738537,0.7199393709738537,0.24877676870627238,0.24877676870627238,0.09398834431988336,0.09478782270785414,0.3249712009494411,0.32918100310811854,0.025256431143250314,0.03129178841422918,0.02719341516494751
0.2,sigmoid,5,2617,291,647,73,816,91,0.11151960784313726,0.6509132247063282,0.6509132247063282,0.2049992715461243,0.2049992715461243,0.0959995630918231,0.09620367412085773,0.33554389571741683,0.33672265530371076,0.016035516787336754,0.017353124498847846,0.02910489241282145
0.2,isotonic,1,2612,290,651,74,817,91,0.11138310893512852,0.605303787121969,0.6054702872884691,0.16021465005393454,0.15102649118795375,0.09801561177158487,0.1000288063817285,0.3441343886303229,0.4369529655422006,0.018386986963474093,0.04869651954447214,0.027784697214762368
0.2,isotonic,2,2610,291,655,73,815,91,0.1116564417177914,0.6117266711189364,0.5889138485823568,0.16432429053512676,0.1410642433304171,0.09841600523240082,0.10064866520302714,0.34720381428207203,0.4741983109000878,0.015008582427656014,0.009846513281507086,0.027541653315226237
0.2,isotonic,3,2614,291,650,73,816,91,0.11151960784313726,0.7088594164456232,0.7057446002273589,0.2873768836569162,0.2379741279362816,0.09328802395585799,0.09422246960692625,0.3237494565971333,0.3253236255608516,0.026501921840445385,0.018669695817585066,0.027548837661743163
0.2,isotonic,4,2610,291,654,73,816,91,0.11151960784313726,0.7199393709738537,0.7273815839333081,0.24877676870627238,0.22944446912396924,0.09398834431988336,0.09632780020049651,0.3249712009494411,0.4888937034726083,0.025256431143250314,0.026625151393274663,0.027456768353780112
0.2,isotonic,5,2617,291,647,73,816,91,0.11151960784313726,0.6509132247063282,0.6494505494505495,0.2049992715461243,0.19580598311109182,0.0959995630918231,0.0964081538425367,0.33554389571741683,0.37541655691025716,0.016035516787336754,0.015300170354438241,0.028744908173878987
0.25,sigmoid,1,2449,272,814,92,817,91,0.11138310893512852,0.6120697484333848,0.6120697484333848,0.16700079446195165,0.16700079446195165,0.09757646850633832,0.09883607152121043,0.34273675065967407,0.34491265321323766,0.012913921108905498,0.009065074927696112,0.027837149302164712
0.25,sigmoid,2,2449,273,816,91,815,91,0.1116564417177914,0.5965029445692429,0.5965029445692429,0.15728685670931233,0.15728685670931233,0.09911064578479006,0.09898111458084426,0.35066690745692136,0.3468529197210612,0.01845146551105441,0.009596105319052426,0.029508590698242188
0.25,sigmoid,3,2451,273,813,91,816,91,0.11151960784313726,0.7116635089048882,0.7116635089048882,0.278120851086786,0.278120851086786,0.0932601726689905,0.09330535301482376,0.3238760543763457,0.32671792077070644,0.030040678045803217,0.042419743585130516,0.027829273541768392
0.25,sigmoid,4,2442,273,822,91,816,91,0.11151960784313726,0.7150284198560061,0.7150284198560061,0.25820784436277433,0.25820784436277433,0.0938447558074121,0.09424067464270261,0.32489811595636864,0.32807788061470305,0.025700249551976133,0.03465048678418887,0.02820965051651001
0.25,sigmoid,5,2449,272,815,92,816,91,0.11151960784313726,0.658128078817734,0.658128078817734,0.20255728036496384,0.20255728036496384,0.09592201515576282,0.09639303063706459,0.33482684668368584,0.3364778704361446,0.013913831350208041,0.01461234319337872,0.027251609166463218
0.25,isotonic,1,2449,272,814,92,817,91,0.11138310893512852,0.6120697484333848,0.61193352102443,0.16700079446195165,0.15941704126696712,0.09757646850633832,0.0994876064649064,0.34273675065967407,0.43429402383408267,0.012913921108905498,0.04904013282012579,0.028907446066538493
0.25,isotonic,2,2449,273,816,91,815,91,0.1116564417177914,0.5965029445692429,0.5981194220144496,0.15728685670931233,0.14774946832937877,0.09911064578479006,0.10269913314279784,0.35066690745692136,0.6047796288985327,0.01845146551105441,0.011054757689856396,0.027029208342234292
0.25,isotonic,3,2451,273,813,91,816,91,0.11151960784313726,0.7116635089048882,0.6972792724516863,0.278120851086786,0.24135657872306807,0.0932601726689905,0.09270375659131457,0.3238760543763457,0.3214284309344202,0.030040678045803217,0.01310948703023156,0.027055847644805908
0.25,isotonic,4,2442,273,822,91,816,91,0.11151960784313726,0.7150284198560061,0.7023872679045092,0.25820784436277433,0.21502706639680025,0.0938447558074121,0.09390063370780505,0.32489811595636864,0.36318218060042384,0.025700249551976133,0.01263923111395362,0.027295446395874022
0.25,isotonic,5,2449,272,815,92,816,91,0.11151960784313726,0.658128078817734,0.6446911708980674,0.20255728036496384,0.17402795807481417,0.09592201515576282,0.09769930566937315,0.33482684668368584,0.42257091946108555,0.013913831350208041,0.01916437364427083,0.037206625938415526
0.3,sigmoid,1,2288,254,975,110,817,91,0.11138310893512852,0.6203342112433021,0.6203342112433021,0.17489749184085407,0.17489749184085407,0.09724704332836835,0.0981989897666119,0.3413890014549097,0.3431320990750787,0.012167315927215023,0.01298935365296514,0.03357399702072143
0.3,sigmoid,2,2286,255,979,109,815,91,0.1116564417177914,0.6051696921862668,0.6051696921862668,0.16799421774285217,0.16799421774285217,0.09846843927703103,0.09845296250204418,0.34815628787615477,0.3449394630684021,0.020091071994735376,0.00583963651151317,0.03767815828323364
