decil_calibrado,n,positivos,probabilidad_media_calibrada,probabilidad_media_sin_calibrar,frecuencia_observada
1,408,26,0.06573877007826907,0.04881544185539781,0.06372549019607843
2,408,26,0.0748363052914624,0.05635157116170383,0.06372549019607843
3,408,17,0.08078088583151682,0.06593502104701168,0.041666666666666664
4,408,29,0.08660976634809815,0.07470072257371396,0.07107843137254902
5,408,31,0.0931386765502696,0.08444480435964295,0.07598039215686274
6,408,45,0.10035366089924748,0.09513810131257322,0.11029411764705882
7,408,54,0.10941575032724797,0.10746806191838228,0.1323529411764706
8,408,66,0.12300940233263055,0.1243062819919556,0.16176470588235295
9,408,68,0.1473642109281321,0.15031034651143063,0.16666666666666666
10,408,93,0.2422363326165976,0.21864609169232613,0.22794117647058823
