test_size_calibracion,metodo_calibracion,fold,n_modelo,positivos_modelo,n_calibracion,positivos_calibracion,n_test,positivos_test,prevalencia_test,auc_sin_calibrar,auc_calibrado,auprc_sin_calibrar,auprc_calibrado,brier_sin_calibrar,brier_calibrado,logloss_sin_calibrar,logloss_calibrado,ece_sin_calibrar,ece_calibrado,tiempo_min
0.2,sigmoid,1,1063,110,270,27,334,35,0.10479041916167664,0.7200191113234592,0.7200191113234592,0.261137067628046,0.261137067628046,0.08821281337622175,0.0910813767272711,0.30860236494250226,0.32199011688204354,0.009609210701537446,0.032402546874601,0.013270370165506999
0.2,sigmoid,2,1063,110,270,27,334,35,0.10479041916167664,0.7057811753463927,0.7057811753463927,0.19121500210676137,0.19121500210676137,0.0917550834214044,0.09374639074544475,0.3205604787735685,0.3272072991922199,0.02403947357852369,0.03572672297018648,0.009942237536112468
0.2,sigmoid,3,1067,110,268,28,332,34,0.10240963855421686,0.6568298460323727,0.6568298460323727,0.14857687086900156,0.14857687086900156,0.09203140749978636,0.0932198240209663,0.32331741507052214,0.3283746992189474,0.03108691295506587,0.028652462767777748,0.010897862911224365
0.2,sigmoid,4,1062,110,271,28,334,34,0.10179640718562874,0.6752941176470587,0.6752941176470587,0.16642776426224398,0.16642776426224398,0.0898112672045811,0.0903273440072893,0.3161401649339493,0.3203470351174764,0.02738748104808885,0.03967997536874485,0.010142385959625244
0.2,sigmoid,5,1066,110,268,28,333,34,0.1021021021021021,0.6580759394058626,0.6580759394058626,0.21024906155423936,0.21024906155423936,0.08827533712192556,0.08835554997971641,0.3134798978964811,0.3149815762051186,0.008687687889404026,0.014344262553649572,0.010374255975087484
0.2,isotonic,1,1063,110,270,27,334,35,0.10479041916167664,0.7200191113234592,0.7204013377926421,0.261137067628046,0.2256843236442748,0.08821281337622175,0.08984054847233268,0.30860236494250226,0.3082950716683053,0.009609210701537446,0.01603222384918691,0.010871899127960206
0.2,isotonic,2,1063,110,270,27,334,35,0.10479041916167664,0.7057811753463927,0.7020544672718585,0.19121500210676137,0.17684988558305942,0.0917550834214044,0.08884686380532678,0.3205604787735685,0.4978929406869494,0.02403947357852369,0.018766457845534355,0.010077102979024252
0.2,isotonic,3,1067,110,268,28,332,34,0.10240963855421686,0.6568298460323727,0.6266285037504935,0.14857687086900156,0.13480684835026366,0.09203140749978636,0.09263141726934994,0.32331741507052214,0.4192533236981472,0.03108691295506587,0.014890117450355787,0.010229206085205078
0.2,isotonic,4,1062,110,271,28,334,34,0.10179640718562874,0.6752941176470587,0.6768627450980392,0.16642776426224398,0.1680472935287114,0.0898112672045811,0.10535626263469267,0.3161401649339493,1.1472854502281438,0.02738748104808885,0.034430138996493755,0.01023938258488973
0.2,isotonic,5,1066,110,268,28,333,34,0.1021021021021021,0.6580759394058626,0.6306807003737951,0.21024906155423936,0.16490492996952,0.08827533712192556,0.08976974089548496,0.3134798978964811,0.31985188311178037,0.008687687889404026,0.03917747058339004,0.010442741711934407
0.25,sigmoid,1,996,103,337,34,334,35,0.10479041916167664,0.715910176779742,0.715910176779742,0.23344753237346758,0.23344753237346758,0.08857473627038552,0.09209966791133097,0.3093723172632361,0.3266503264313884,0.020652565489217022,0.059463094873359754,0.011043234666188558
0.25,sigmoid,2,997,103,336,34,334,35,0.10479041916167664,0.6900143334925942,0.6900143334925942,0.19256436228407925,0.19256436228407925,0.0918159379491966,0.09368772341684022,0.32127819932219936,0.32715290439844363,0.018531619819016746,0.021160967364389674,0.010162850220998129
0.25,sigmoid,3,1003,104,332,34,332,34,0.10240963855421686,0.6792341097512831,0.6792341097512831,0.16398630613184084,0.16398630613184084,0.09210991744419866,0.09138037960893146,0.32196488074619967,0.32573001941392227,0.03064701648100932,0.05694368874337925,0.010116167863210042
0.25,sigmoid,4,996,104,337,34,334,34,0.10179640718562874,0.6792156862745098,0.6792156862745098,0.1772670947326223,0.1772670947326223,0.08909605822260232,0.08982617147481636,0.31420651473457717,0.3196251417667059,0.01733364472778811,0.02797716048798525,0.010010445117950439
0.25,sigmoid,5,999,104,335,34,333,34,0.1021021021021021,0.6618138894353728,0.6618138894353728,0.22733617796977523,0.22733617796977523,0.08776640935727104,0.08782410344881793,0.3121996591302554,0.31267747588501604,0.014594485823495837,0.0244946560435054,0.010166645050048828
0.25,isotonic,1,996,103,337,34,334,35,0.10479041916167664,0.715910176779742,0.7087434304825609,0.23344753237346758,0.1898759860501402,0.08857473627038552,0.09160885220608399,0.3093723172632361,0.41153588933399354,0.020652565489217022,0.010092472821610637,0.011331244309743246
0.25,isotonic,2,997,103,336,34,334,35,0.10479041916167664,0.6900143334925942,0.6894409937888198,0.19256436228407925,0.17619006652630373,0.0918159379491966,0.0907870448374214,0.32127819932219936,0.5074119569366149,0.018531619819016746,0.01685604730739551,0.011252951622009278
0.25,isotonic,3,1003,104,332,34,332,34,0.10240963855421686,0.6792341097512831,0.6258882747729965,0.16398630613184084,0.13669835310877057,0.09210991744419866,0.09112185780739604,0.32196488074619967,0.515390473388321,0.03064701648100932,0.014254511535439583,0.01022416353225708
