decil_calibrado,n,positivos,probabilidad_media_calibrada,probabilidad_media_sin_calibrar,frecuencia_observada
1,182,7,0.005631463941585619,0.04425933145965792,0.038461538461538464
2,166,5,0.03431786369518036,0.04750527325525404,0.030120481927710843
3,186,9,0.07171871011032183,0.06346902507701373,0.04838709677419355
4,165,11,0.09032603073688693,0.07649834953531132,0.06666666666666667
5,172,14,0.10853873543909226,0.08059809576291052,0.08139534883720931
6,141,11,0.1157593112085765,0.0844118665420758,0.07801418439716312
7,277,44,0.12882933527663692,0.12078799750497332,0.1588447653429603
8,87,20,0.13331100948806754,0.18089317934667135,0.22988505747126436
9,180,31,0.15300822174852394,0.136293151974623,0.17222222222222222
10,111,20,0.24672739545445269,0.23479647540384216,0.18018018018018017
